state,section,name,officers,address,phone,fax,email,website,facebook,source_url
Alabama,International Union Offices,Southern Region Office,,"Southern Region Office
Tim Anderson FC
1745 Phoenix Blvd.
Suite 440
Atlanta, GA 30349",,(770) 907-2272,,,,https://www.afscme.org/local/alabama
Alaska,International Union Offices,Northwest Area Office,"Jeremy Kruse, Area Field Services Director","Northwest Area Office
Jeremy Kruse, Area Field Services Director
1836 NE 7th Ave. Suite 203
Portland, OR 97212",,(503) 281-6107,,,,https://www.afscme.org/local/alaska
Alaska,Retiree Chapters,Retiree Chapter: Chapter 52,"Jan Carolyn Hardy, President",,(907) 277-5232,,retchapter@afscmelocal52.org,http://www.afscmelocal52.org,https://www.facebook.com/AlaskaAFSCMERetirees/,https://www.afscme.org/local/alaska
Alaska,,"Anchorage Municipal Employee Association (AMEA), Local 16","Paul Hatcher, President",", Local 16
Paul Hatcher, President
2601 Denali Street
Anchorage, AK 99503",(907) 343-7942,,phatcher@ameatoday.org,http://www.ameatoday.org/,,https://www.afscme.org/local/alaska
Alaska,,ASEA Local 52: Anchorage (Headquarters),"Chuck Stewart, President; Heidi Drygas, Executive Director","Chuck Stewart, President
Heidi Drygas, Executive Director
2601 Denali Street
Anchorage, AK 99503",(907) 277-5200; (800) 478-2732,,,http://www.afscmelocal52.org/,,https://www.afscme.org/local/alaska
Alaska,,ASEA Local 52: Fairbanks Office,,"Fairbanks Office
542 4th Ave.
Suite 226
Fairbanks, AK 99701",(907) 452-2300; (800) 478-2305,(907) 452-2307,,,,https://www.afscme.org/local/alaska
Alaska,,ASEA Local 52:  Juneau Office,,"Juneau Office
318 E 4th Street
Juneau, AK 99801",(907) 463-4949; (800) 478-0049,(907) 463-4950,,,,https://www.afscme.org/local/alaska
Alaska,,"Public Safety Employees Association (PSEA), Local 803","Charisse Millett, Executive Director; Shaun Kuzakin, President",", Local 803
Charisse Millett, Executive Director
Shaun Kuzakin, President
4228 Laurel St.
Anchorage, AK 99508",(907) 388-6771,,psea.president@psea.net,http://www.psea.net/,,https://www.afscme.org/local/alaska
Arizona,International Union Offices,Southwest Area Office,"Lalo Macias, Area Field Services Director","Southwest Area Office
Lalo Macias, Area Field Services Director
4000 S. Eastern Ave
Suite 200
Las Vegas, NV 89119",(702) 202-3633,,,,,https://www.afscme.org/local/arizona
Arizona,Retiree Chapters,Retiree Chapter: Chapter 97,"Roman Ulman, President; Fran Krugen, Secretary-Treasurer",,(480) 993-8799; (602) 373-5604,,afscmeazretirees@gmail.com,,,https://www.afscme.org/local/arizona
Arizona,,"Tucson Pima Co. Area Public Employees, Local 449","Marcelino Flores, President",,(520) 571-8884; (520) 272-8919,,marcelino.flores@afscme449.org,https://www.afscme449.org,,https://www.afscme.org/local/arizona
Arizona,,"Phoenix AZ City Employees, Local 2384","Jess Mayer, President","Phoenix AZ City Employees, Local 2384
Jess Mayer, President
3636 N. 15th Ave.
Phoenix, AZ 85015",(602) 230-2301,,,http://www.afscme2384.com/,,https://www.afscme.org/local/arizona
Arizona,,"Phoenix Pre-Professional and Clerical Employees, Local 2960","Frank Piccioli, President","Professional and Clerical Employees, Local 2960
Frank Piccioli, President
1700 E Thomas Road
Phoenix, AZ 85016",,(602) 254-3966,,http://www.afscme2960.org/,,https://www.afscme.org/local/arizona
Arizona,,"City of Peoria Public Employees, Local 3282","Joshua Capilla, President","City of Peoria Public Employees, Local 3282
Joshua Capilla, President
3636 N. 15th Avenue
Peoria, AZ 85380",,,jcap79@gmail.com,http://www.afscme3282.org/,,https://www.afscme.org/local/arizona
Arkansas,International Union Offices,Southern Region Office,"Dorothy Townsend, Regional Director","Southern Region Office
Dorothy Townsend, Regional Director
1745 Phoenix Blvd., Suite 440
Atlanta, GA 30349",,(770) 907-2272,,,,https://www.afscme.org/local/arkansas
Arkansas,,Council 17: Baton Rouge Headquarters,"Lloyd Permaul, Executive Director","2
Baton Rouge, LA 70816",(225) 927-2800,,,,,https://www.afscme.org/local/arkansas
California,International Union Offices,AFSCME Western Region Office,"Walter Blair, Regional Director","AFSCME Western Region Office
Walter Blair, Regional Director
19191 S. Vermont Avenue
Suite 800
Torrance, CA 90502",,(310) 243-1802,,,,https://www.afscme.org/local/california
California,International Union Offices,Area Office: Sacramento,,"Sacramento
1121 L Street, Suite 904
Sacramento, CA 95814",,(916) 441-1570,,http://www.calafscme.org,,https://www.afscme.org/local/california
California,International Union Offices,Area Office: Concord,,"Concord
4057 Port Chicago Highway, Suite 120
Concord, CA  94520",,(925) 671-9002,,,,https://www.afscme.org/local/california
California,Retiree Chapters,California AFSCME Retiree Chapter 36: Los Angeles City and County,"Gwendolyn Jones, President",,(213) 674-7583,,retiree@afscme36.org,,,https://www.afscme.org/local/california
California,Retiree Chapters,California AFSCME Retiree Chapter 57,"Cherll Grover, President",,(925) 777-7723 ext. 723,,retirees@ca.afscme57.org,http://www.afscme57.org/retirees/,,https://www.afscme.org/local/california
California,Retiree Chapters,Retiree Chapter 1199U: UNAC/UHCP,"Sonia Moseley, President",,(909) 618-0657,,retirees@unacuhcp.org,https://www.unacuhcp.org/retirees/,,https://www.afscme.org/local/california
California,Retiree Chapters,AFSCME Chapter 1902,"Jan P. Matusak, President",,310-293-9125,,Retirees@afscme1902.org,,,https://www.afscme.org/local/california
California,Retiree Chapters,CA Retiree Subchapter 206,,"220
Sacramento CA
95814",(800) 622-0909,,,,,https://www.afscme.org/local/california
California,,Child Care Providers United - California,,"California
4855 Seminole Drive
San Diego, CA 92115",619-263-7254,800-621-5016,,,,https://www.afscme.org/local/california
California,,Council 36: Los Angeles (Headquarters),"Matt Maldonado, Executive Director; Veronica Gunn, President","Matt Maldonado, Executive Director
Veronica Gunn, President
3375 E. Slauson Ave.
Vernon, CA 90058",(213) 487-9887,,,http://www.afscme36.org,,https://www.afscme.org/local/california
