name,type,rows,size_bytes,size_readable,columns,has_pk,category
all_employers_unified,VIEW,80160,0,0.0 MB,18,False,Other/Unknown
ar_assets_investments,TABLE,304816,33144832,31.61 MB,6,False,Other/Unknown
ar_disbursements_emp_off,TABLE,2813248,404701184,385.95 MB,20,False,Other/Unknown
ar_disbursements_total,TABLE,216372,28925952,27.59 MB,23,False,Other/Unknown
ar_membership,TABLE,216508,24502272,23.37 MB,7,False,Other/Unknown
bls_fips_lookup,TABLE,52,24576,0.02 MB,3,True,Geographic
bls_industry_density,TABLE,12,24576,0.02 MB,5,True,Geographic
bls_industry_lookup,TABLE,39,24576,0.02 MB,2,True,Geographic
bls_industry_occupation_matrix,TABLE,113473,22233088,21.2 MB,15,True,Geographic
bls_industry_projections,TABLE,423,196608,0.19 MB,14,True,Geographic
bls_industry_union_density,VIEW,5472,0,0.0 MB,6,False,Core
bls_naics_mapping,TABLE,22,24576,0.02 MB,3,True,Geographic
bls_naics_sector_map,TABLE,231,65536,0.06 MB,4,True,Geographic
bls_national_union_trends,VIEW,9832,0,0.0 MB,7,False,Core
bls_occupation_lookup,TABLE,30,24576,0.02 MB,2,True,Geographic
bls_occupation_projections,TABLE,1113,450560,0.43 MB,17,True,Geographic
bls_occupation_union_density,VIEW,4328,0,0.0 MB,6,False,Core
bls_state_union_rates,VIEW,2550,0,0.0 MB,5,False,Core
bls_union_data,TABLE,31007,3694592,3.52 MB,5,True,Core
bls_union_series,TABLE,1232,1777664,1.7 MB,25,True,Core
cbsa_counties,TABLE,1915,434176,0.41 MB,8,True,Other/Unknown
cbsa_definitions,TABLE,935,172032,0.16 MB,6,True,Other/Unknown
census_industry_naics_xwalk,TABLE,24373,2932736,2.8 MB,5,True,Other/Unknown
census_occupation_soc_xwalk,TABLE,34540,3989504,3.8 MB,5,True,Other/Unknown
contract_employer_matches,TABLE,8954,2375680,2.27 MB,7,True,Matching
corporate_hierarchy,TABLE,125120,25255936,24.09 MB,13,True,Other/Unknown
corporate_identifier_crosswalk,TABLE,25177,7618560,7.27 MB,19,True,Corporate
county_industry_shares,TABLE,3144,647168,0.62 MB,17,True,Other/Unknown
county_union_density_estimates,TABLE,3144,3948544,3.77 MB,27,True,Core
county_workforce_shares,TABLE,3144,688128,0.66 MB,15,True,Other/Unknown
crosswalk_affiliation_sector_map,TABLE,111,65536,0.06 MB,4,True,Corporate
crosswalk_f7_only_unions,TABLE,167,73728,0.07 MB,5,True,Core
crosswalk_sector_lookup,TABLE,6,32768,0.03 MB,5,True,Corporate
crosswalk_unions_master,TABLE,50039,11862016,11.31 MB,16,True,Core
data_source_freshness,TABLE,15,32768,0.03 MB,7,True,Other/Unknown
deduplication_methodology,TABLE,11,32768,0.03 MB,5,True,Other/Unknown
discovered_employers,TABLE,32,65536,0.06 MB,17,True,Other/Unknown
employer_990_matches,TABLE,514,278528,0.27 MB,12,True,Matching
employer_comparables,TABLE,269785,141754368,135.19 MB,7,True,Other/Unknown
employer_review_flags,TABLE,13,49152,0.05 MB,6,True,Other/Unknown
employers_990,TABLE,5942,6291456,6.0 MB,24,True,Other/Unknown
employers_990_deduped,TABLE,1046167,278200320,265.31 MB,22,False,Other/Unknown
epi_state_benchmarks,TABLE,51,24576,0.02 MB,18,True,Other/Unknown
epi_union_membership,TABLE,1420064,327393280,312.23 MB,14,True,Core
f7_adjustment_factors,TABLE,76,32768,0.03 MB,7,True,Core
f7_employer_merge_log,TABLE,21608,4669440,4.45 MB,15,True,Core
f7_employers,TABLE,146863,106307584,101.38 MB,18,True,Core
f7_employers_deduped,TABLE,113713,146292736,139.52 MB,36,True,Core
f7_federal_scores,TABLE,9305,1761280,1.68 MB,10,False,Core
f7_fnum_crosswalk,TABLE,2693,712704,0.68 MB,9,True,Core
f7_industry_scores,TABLE,121433,26836992,25.59 MB,13,False,Core
f7_name_inference_rules,TABLE,23,32768,0.03 MB,6,True,Core
f7_union_employer_relations,TABLE,119445,20373504,19.43 MB,5,True,Core
federal_agencies,TABLE,192,131072,0.12 MB,11,True,Other/Unknown
federal_bargaining_units,TABLE,2183,1646592,1.57 MB,25,True,Other/Unknown
