method,path,file,function,line,fvars,snippet
GET,/api/cba/provisions/search,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\cba.py,search_cba_provisions,82,where,"cur.execute(f""SELECT COUNT(*) AS cnt FROM v_cba_provision_search v WHERE {where}"", params)             total = int(cur.fetchone()[""cnt""])              offset = (page - 1) * limit"
GET,/api/density/by-county,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\density.py,get_density_by_county,358,where_clause,"cur.execute(f""""""                 SELECT COUNT(*)                 FROM county_union_density_estimates e                 {where_clause}"
GET,/api/density/by-county,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\density.py,get_density_by_county,367,,"cur.execute(f""""""                 SELECT                     e.fips,                     e.state,"
GET,/api/density/state-industry-comparison,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\density.py,get_state_industry_comparison,669,,"cur.execute(f""""""                 SELECT state, state_name, expected_private_density, actual_private_density,                        density_difference, climate_multiplier, interpretation                 FROM state_industry_density_comparison"
GET,/api/density/ny/counties,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\density.py,get_ny_county_density,939,,"cur.execute(f""""""                 SELECT county_fips, county_name,                        estimated_total_density, estimated_private_density, estimated_public_density,                        estimated_federal_density, estimated_state_density, estimated_local_density,"
GET,/api/density/ny/zips,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\density.py,get_ny_zip_density,1059,,"cur.execute(f""""""                 SELECT zip_code, zip_name,                        estimated_total_density, estimated_private_density, estimated_public_density,                        estimated_federal_density, estimated_state_density, estimated_local_density,"
GET,/api/density/ny/zips,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\density.py,get_ny_zip_density,1073,where_clause,"cur.execute(f""""""                 SELECT COUNT(*) FROM ny_zip_density_estimates {where_clause}             """""", params)             total = cur.fetchone()[""count""]"
GET,/api/density/ny/tracts,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\density.py,get_ny_tract_density,1148,,"cur.execute(f""""""                 SELECT tract_fips, county_fips, tract_name,                        estimated_total_density, estimated_private_density, estimated_public_density,                        estimated_federal_density, estimated_state_density, estimated_local_density,"
GET,/api/density/ny/tracts,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\density.py,get_ny_tract_density,1162,where_clause,"cur.execute(f""""""                 SELECT COUNT(*) FROM ny_tract_density_estimates {where_clause}             """""", params)             total = cur.fetchone()[""count""]"
GET,/api/employers/search,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\employers.py,search_employers,75,where_clause,"cur.execute(f""""""                     SELECT COUNT(*) FROM ps_employers WHERE {where_clause}                 """""", params)                 total = cur.fetchone()['count']"
GET,/api/employers/search,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\employers.py,search_employers,82,,"cur.execute(f""""""                     SELECT id as employer_id, employer_name, city, state,                            total_employees as latest_unit_size,                            employer_type, employer_type as employer_subtype,"
GET,/api/employers/search,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\employers.py,search_employers,124,where_clause,"cur.execute(f""""""                 SELECT COUNT(*) FROM f7_employers_deduped e                 LEFT JOIN unions_master um ON e.latest_union_fnum::text = um.f_num                 WHERE {where_clause}"
GET,/api/employers/search,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\employers.py,search_employers,133,,"cur.execute(f""""""                 SELECT e.employer_id, e.employer_name, e.city, e.state, e.naics,                     e.naics_detailed, e.naics_source, e.naics_confidence,                     e.latest_unit_size, e.latest_union_fnum, e.latest_union_name,"
GET,/api/employers/fuzzy-search,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\employers.py,fuzzy_search_employers,166,state_filter,"cur.execute(f""""""                 SELECT COUNT(*) as total FROM f7_employers_deduped e                 WHERE similarity(e.employer_name, %s) > %s {state_filter}             """""", count_params)"
GET,/api/employers/fuzzy-search,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\employers.py,fuzzy_search_employers,177,,"cur.execute(f""""""                 SELECT e.employer_id, e.employer_name, similarity(e.employer_name, %s) as match_score,                        e.city, e.state, e.naics, e.naics_detailed, e.naics_source,                        e.latest_unit_size, e.latitude, e.longitude,"
GET,/api/employers/normalized-search,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\employers.py,normalized_search_employers,214,,"cur.execute(f""""""                 WITH normalized AS (                     SELECT *, regexp_replace(                         regexp_replace(lower(employer_name),"
GET,/api/employers/normalized-search,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\employers.py,normalized_search_employers,232,,"cur.execute(f""""""                 WITH normalized AS (                     SELECT *, regexp_replace(                         regexp_replace(lower(employer_name),"
GET,/api/employers/unified-search,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\employers.py,unified_employer_search,397,where_clause,"cur.execute(f""SELECT COUNT(*) FROM mv_employer_search m WHERE {where_clause}"", params)             total = cur.fetchone()['count']              # Results with flag count and group info"
GET,/api/employers/unified-search,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\employers.py,unified_employer_search,402,,"cur.execute(f""""""                 SELECT m.canonical_id, m.source_type, m.employer_name, m.city, m.state,                        m.zip, m.naics, m.unit_size, m.union_name, m.union_fnum,                        m.has_union, m.latitude, m.longitude,"
GET,/api/employers/flags/pending,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\employers.py,get_pending_flags,600,,"cur.execute(f""""""                 SELECT f.id, f.source_type, f.source_id, f.flag_type, f.notes, f.created_at,                        m.employer_name, m.city, m.state                 FROM employer_review_flags f"
GET,/api/employers/flags/pending,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\employers.py,get_pending_flags,614,where_clause,"cur.execute(f""""""                 SELECT COUNT(*) FROM employer_review_flags f WHERE {where_clause}             """""", params[:-2] if params[:-2] else [])             total = cur.fetchone()['count']"
GET,/api/employers/unified/search,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\employers.py,search_unified_employers,1354,where_clause,"cur.execute(f""SELECT COUNT(*) FROM unified_employers_osha u WHERE {where_clause}"", params)             total = cur.fetchone()['count']              # Results with OSHA match count"
GET,/api/employers/unified/search,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\employers.py,search_unified_employers,1359,,"cur.execute(f""""""                 SELECT u.unified_id, u.source_type, u.source_id, u.employer_name,                        u.city, u.state, u.zip, u.naics, u.union_fnum, u.union_name,                        u.employee_count,"
GET,/api/osha/unified-matches,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\employers.py,search_osha_unified_matches,1460,,"cur.execute(f""""""                 SELECT COUNT(*)                 FROM osha_unified_matches m                 JOIN osha_establishments o ON o.establishment_id = m.establishment_id"
GET,/api/osha/unified-matches,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\employers.py,search_osha_unified_matches,1471,,"cur.execute(f""""""                 SELECT m.id, m.establishment_id, m.match_method, m.match_confidence,                        o.estab_name, o.site_city, o.site_state, o.naics_code,                        u.unified_id, u.source_type, u.employer_name as matched_employer,"
GET,/api/stats/breakdown,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\health.py,get_stats_breakdown,102,,"cur.execute(f""""""                 SELECT COUNT(*) as total_employers,                        COALESCE(SUM(f.latest_unit_size), 0) as total_workers,                        COUNT(DISTINCT f.latest_union_fnum) as total_locals"
GET,/api/stats/breakdown,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\health.py,get_stats_breakdown,112,,"cur.execute(f""""""                 SELECT LEFT(f.naics, 2) as naics_code,                        COALESCE(ns.sector_name, LEFT(f.naics, 2)) as industry_name,                        COUNT(*) as employer_count, COALESCE(SUM(f.latest_unit_size), 0) as worker_count"
GET,/api/stats/breakdown,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\health.py,get_stats_breakdown,126,,"cur.execute(f""""""                 SELECT f.cbsa_code, COALESCE(c.cbsa_title, f.cbsa_code) as metro_name,                        COUNT(*) as employer_count, COALESCE(SUM(latest_unit_size), 0) as worker_count                 FROM f7_employers_deduped f"
GET,/api/stats/breakdown,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\health.py,get_stats_breakdown,139,,"cur.execute(f""""""                 SELECT COALESCE(um.sector, 'Unknown') as sector_name,                        COUNT(*) as employer_count, COALESCE(SUM(f.latest_unit_size), 0) as worker_count                 FROM f7_employers_deduped f"
GET,/api/lookups/affiliations,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\lookups.py,get_affiliations,39,,"cur.execute(f""""""                 SELECT aff_abbr, MAX(union_name) as example_name,                     COUNT(*) as local_count, SUM(members) as total_members,                     SUM(f7_employer_count) as employer_count"
GET,/api/lookups/cities,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\lookups.py,get_cities_lookup,119,where_clause,"cur.execute(f""""""                 SELECT UPPER(city) as city, COUNT(*) as employer_count                 FROM f7_employers_deduped                 WHERE {where_clause}"
GET,/api/museums/targets,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\museums.py,search_museum_targets,73,where_clause,"cur.execute(f""""""                     SELECT COUNT(*) FROM v_museum_organizing_targets                     WHERE {where_clause}                 """""", params)"
GET,/api/museums/targets,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\museums.py,search_museum_targets,82,where_clause|sort_by|order_dir,"cur.execute(f""""""                     SELECT * FROM v_museum_organizing_targets                     WHERE {where_clause}                     ORDER BY {sort_by} {order_dir} NULLS LAST, employer_name"
GET,/api/museums/unionized,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\museums.py,get_unionized_museums,204,where_clause,"cur.execute(f""""""                     SELECT COUNT(*) FROM v_museum_unionized                     WHERE {where_clause}                 """""", params)"
GET,/api/museums/unionized,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\museums.py,get_unionized_museums,211,where_clause,"cur.execute(f""""""                     SELECT * FROM v_museum_unionized                     WHERE {where_clause}                     ORDER BY best_employee_count DESC"
GET,/api/nlrb/elections/search,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\nlrb.py,search_nlrb_elections,86,,"cur.execute(f""""""                 SELECT COUNT(DISTINCT e.case_number)                 FROM nlrb_elections e                 LEFT JOIN nlrb_participants p ON e.case_number = p.case_number"
GET,/api/nlrb/elections/search,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\nlrb.py,search_nlrb_elections,98,,"cur.execute(f""""""                 SELECT DISTINCT ON (e.case_number)                     e.case_number, e.election_date, e.election_type, e.eligible_voters,                     e.union_won, e.vote_margin, p.participant_name as employer_name,"
GET,/api/nlrb/elections/map,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\nlrb.py,get_nlrb_elections_map,153,,"cur.execute(f""""""                 SELECT e.case_number, e.election_date, e.union_won, e.eligible_voters,                     p.participant_name as employer_name, p.city, p.state,                     t.labor_org_name as union_name, um.aff_abbr,"
GET,/api/nlrb/elections/by-year,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\nlrb.py,get_nlrb_elections_by_year,185,,"cur.execute(f""""""                 SELECT EXTRACT(YEAR FROM e.election_date)::int as year,                     COUNT(*) as total_elections,                     SUM(CASE WHEN e.union_won THEN 1 ELSE 0 END) as union_wins,"
GET,/api/nlrb/elections/by-state,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\nlrb.py,get_nlrb_elections_by_state,218,,"cur.execute(f""""""                 SELECT p.state, COUNT(DISTINCT e.case_number) as total_elections,                     SUM(CASE WHEN e.union_won THEN 1 ELSE 0 END) as union_wins,                     SUM(CASE WHEN e.union_won = false THEN 1 ELSE 0 END) as union_losses,"
GET,/api/nlrb/ulp/search,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\nlrb.py,search_nlrb_ulp,332,,"cur.execute(f""""""                 SELECT COUNT(DISTINCT c.case_number)                 FROM nlrb_cases c                 JOIN nlrb_case_types ct ON c.case_type = ct.case_type"
GET,/api/nlrb/ulp/search,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\nlrb.py,search_nlrb_ulp,344,,"cur.execute(f""""""                 SELECT DISTINCT ON (c.case_number)                     c.case_number, c.region, c.case_type, ct.description as case_type_desc,                     c.earliest_date, chg.participant_name as charged_party,"
GET,/api/nlrb/ulp/by-section,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\nlrb.py,get_nlrb_ulp_by_section,381,,"cur.execute(f""""""                 SELECT a.section, COUNT(DISTINCT c.case_number) as case_count,                     COUNT(DISTINCT CASE WHEN chg.participant_subtype = 'Employer'                         THEN c.case_number END) as against_employers,"
GET,/api/organizing/scorecard,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\organizing.py,get_organizing_scorecard,370,where_clause,"cur.execute(f""""""                 SELECT COUNT(*) as cnt FROM v_organizing_scorecard                 WHERE {where_clause}             """""", params)"
GET,/api/organizing/scorecard,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\organizing.py,get_organizing_scorecard,377,,"cur.execute(f""""""                 SELECT v.*, nc.naics_title AS naics_description                 FROM v_organizing_scorecard v                 LEFT JOIN LATERAL ("
GET,/api/admin/match-quality,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\organizing.py,get_match_quality,1166,tbl,"cur.execute(f""SELECT COUNT(*) FROM {tbl}"")                     src_total = cur.fetchone()['count']                     cur.execute(""""""                         SELECT COUNT(DISTINCT source_id) AS matched_sources,"
GET,/api/admin/match-review,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\organizing.py,get_match_review,1227,,"cur.execute(f""""""                 SELECT uml.id, uml.run_id, uml.source_system, uml.source_id, uml.target_id,                        uml.match_method, uml.match_tier, uml.confidence_band, uml.confidence_score,                        uml.evidence, uml.status, uml.created_at,"
GET,/api/admin/match-review,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\organizing.py,get_match_review,1260,where,"cur.execute(f""""""                 SELECT COUNT(*) FROM unified_match_log uml WHERE {where}             """""", params[:-2] if params[:-2] else [])             total = cur.fetchone()['count']"
GET,/api/osha/establishments/search,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\osha.py,search_osha_establishments,69,,"cur.execute(f""""""                 SELECT establishment_id, estab_name, site_address, site_city, site_state, site_zip,                        naics_code, union_status, employee_count, total_inspections, last_inspection_date,                        willful_violations, repeat_violations, serious_violations, total_violations,"
GET,/api/osha/establishments/search,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\osha.py,search_osha_establishments,82,"where_clause|""establishments"": results, ""total"": total, ""limit"": limit, ""offset"": offset","cur.execute(f""SELECT COUNT(*) as cnt FROM v_osha_establishment_search WHERE {where_clause}"", params)             total = cur.fetchone()['cnt']              return {""establishments"": results, ""total"": total, ""limit"": limit, ""offset"": offset}"
GET,/api/osha/high-severity,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\osha.py,get_osha_high_severity,162,where_clause,"cur.execute(f""""""                 SELECT * FROM v_osha_high_severity_recent                 WHERE {where_clause}                 ORDER BY issuance_date DESC"
GET,/api/osha/organizing-targets,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\osha.py,get_osha_organizing_targets,193,where_clause,"cur.execute(f""""""                 SELECT * FROM v_osha_organizing_targets                 WHERE {where_clause}                 ORDER BY"
GET,/api/osha/organizing-targets,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\osha.py,get_osha_organizing_targets,208,"where_clause|""targets"": results, ""total"": total, ""limit"": limit, ""offset"": offset","cur.execute(f""SELECT COUNT(*) as cnt FROM v_osha_organizing_targets WHERE {where_clause}"", params)             total = cur.fetchone()['cnt']              return {""targets"": results, ""total"": total, ""limit"": limit, ""offset"": offset}"
GET,/api/projections/top,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\projections.py,get_top_projections,489,,"cur.execute(f""""""                 SELECT bip.matrix_code, bip.industry_title,                        bip.employment_2024, bip.employment_2034,                        bip.employment_change_pct, bip.growth_category,"
GET,/api/public-sector/locals,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\public_sector.py,search_public_sector_locals,93,where_clause,"cur.execute(f""""""                 SELECT COUNT(*) FROM ps_union_locals l                 JOIN ps_parent_unions p ON l.parent_union_id = p.id                 WHERE {where_clause}"
GET,/api/public-sector/locals,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\public_sector.py,search_public_sector_locals,101,,"cur.execute(f""""""                 SELECT l.id, l.local_name, l.local_designation, l.state, l.city,                        l.members, l.sector_type, l.f_num,                        p.abbrev as parent_abbrev, p.full_name as parent_name"
GET,/api/public-sector/employers,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\public_sector.py,search_public_sector_employers,141,where_clause,"cur.execute(f""SELECT COUNT(*) FROM ps_employers WHERE {where_clause}"", params)             total = cur.fetchone()['count']              params.extend([limit, offset])"
GET,/api/public-sector/employers,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\public_sector.py,search_public_sector_employers,145,,"cur.execute(f""""""                 SELECT id, employer_name, employer_type, state, city, county,                        total_employees, naics_code                 FROM ps_employers"
GET,/runs,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\research.py,list_research_runs,260,,"cur.execute(f""""""                 SELECT id, company_name, employer_id, industry_naics, company_type,                        status, started_at, completed_at, duration_seconds,                        sections_filled, total_facts_found, overall_quality_score,"
GET,/runs,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\research.py,list_research_runs,273,where,"cur.execute(f""SELECT COUNT(*) as total FROM research_runs {where}"", params)             total = cur.fetchone()['total']      return {"
GET,/strategies,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\research.py,get_research_strategies,404,,"cur.execute(f""""""                 SELECT tool_name, industry_naics_2digit, company_type,                        company_size_bucket, times_tried, times_found_data,                        hit_rate, avg_quality, avg_latency_ms, recommended_order"
GET,/api/scorecard/unified,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\scorecard.py,get_unified_scorecard,156,where,"cur.execute(f""SELECT COUNT(*) AS cnt FROM mv_unified_scorecard WHERE {where}"", params)             total = cur.fetchone()['cnt']              # Results"
GET,/api/scorecard/unified,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\scorecard.py,get_unified_scorecard,161,,"cur.execute(f""""""                 SELECT employer_id, employer_name, state, city, naics,                        latest_unit_size, latest_union_name, is_historical,                        source_count, has_osha, has_nlrb, has_whd,"
GET,/api/sectors/{sector}/targets,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\sectors.py,search_sector_targets,153,view_name|where_clause,"cur.execute(f""""""                     SELECT COUNT(*) FROM {view_name}                     WHERE {where_clause}                 """""", params)"
GET,/api/sectors/{sector}/targets,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\sectors.py,search_sector_targets,162,view_name|where_clause|sort_by|order_dir,"cur.execute(f""""""                     SELECT * FROM {view_name}                     WHERE {where_clause}                     ORDER BY {sort_by} {order_dir} NULLS LAST, employer_name"
GET,/api/sectors/{sector}/targets/stats,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\sectors.py,get_sector_target_stats,192,view_name,"cur.execute(f""SELECT * FROM {view_name}"")                 tiers = cur.fetchall()                  # Get overall totals"
GET,/api/sectors/{sector}/targets/stats,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\sectors.py,get_sector_target_stats,197,,"cur.execute(f""""""                     SELECT                         COUNT(*) as total_targets,                         SUM(best_employee_count) as total_employees,"
GET,/api/sectors/{sector}/targets/cities,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\sectors.py,get_sector_target_cities,229,view_name,"cur.execute(f""""""                     SELECT city, COUNT(*) as target_count, SUM(best_employee_count) as total_employees                     FROM {view_name}                     WHERE city IS NOT NULL"
GET,/api/sectors/{sector}/targets/{target_id},C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\sectors.py,get_sector_target_detail,254,targets_view,"cur.execute(f""""""                     SELECT * FROM {targets_view}                     WHERE id = %s                 """""", [target_id])"
GET,/api/sectors/{sector}/targets/{target_id},C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\sectors.py,get_sector_target_detail,264,unionized_view,"cur.execute(f""""""                     SELECT employer_name, city, employee_count, union_name, nlrb_election_date                     FROM {unionized_view}                     WHERE city = %s OR state = %s"
GET,/api/sectors/{sector}/unionized,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\sectors.py,get_sector_unionized,311,view_name|where_clause,"cur.execute(f""""""                     SELECT COUNT(*) FROM {view_name}                     WHERE {where_clause}                 """""", params)"
GET,/api/sectors/{sector}/unionized,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\sectors.py,get_sector_unionized,318,view_name|where_clause,"cur.execute(f""""""                     SELECT * FROM {view_name}                     WHERE {where_clause}                     ORDER BY employee_count DESC NULLS LAST"
GET,/api/unions/search,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\unions.py,search_unions,142,where_clause,"cur.execute(f""""""                 SELECT COUNT(*) FROM unions_master um                 LEFT JOIN v_union_display_names v ON um.f_num = v.f_num                 WHERE {where_clause}"
GET,/api/unions/search,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\unions.py,search_unions,150,,"cur.execute(f""""""                 SELECT um.f_num, um.union_name, v.display_name, um.local_number,                     um.aff_abbr, um.desig_name, um.members, um.city, um.state,                     um.sector, um.f7_employer_count, um.f7_total_workers, um.has_f7_employers,"
GET,/api/unions/locals/{affiliation},C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\unions.py,get_locals_for_affiliation,626,where_clause,"cur.execute(f""""""                 SELECT f_num, union_name, display_name, local_number, city, state, members, f7_employer_count                 FROM v_union_display_names                 WHERE {where_clause}"
GET,/api/vr/map,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\vr.py,get_vr_map_data,70,,"cur.execute(f""""""                 SELECT id, vr_case_number, employer_name, city, state, affiliation,                        num_employees, year, latitude, longitude                 FROM v_vr_map_data"
GET,/api/vr/new-employers,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\vr.py,get_vr_new_employers,107,where_clause,"cur.execute(f""SELECT COUNT(*) FROM v_vr_new_employers WHERE {where_clause}"", params)             total = cur.fetchone()['count']              cur.execute(f"""""""
GET,/api/vr/new-employers,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\vr.py,get_vr_new_employers,110,where_clause,"cur.execute(f""""""                 SELECT * FROM v_vr_new_employers                 WHERE {where_clause}                 ORDER BY num_employees DESC NULLS LAST"
GET,/api/vr/pipeline,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\vr.py,get_vr_pipeline,146,where_clause,"cur.execute(f""""""                 SELECT * FROM v_vr_to_f7_pipeline                 WHERE {where_clause}                 ORDER BY vr_date DESC LIMIT %s"
GET,/api/vr/search,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\vr.py,search_vr,208,where_clause,"cur.execute(f""SELECT COUNT(*) FROM nlrb_voluntary_recognition vr WHERE {where_clause}"", params)             total = cur.fetchone()['count']              cur.execute(f"""""""
GET,/api/vr/search,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\vr.py,search_vr,211,,"cur.execute(f""""""                 SELECT vr.id, vr.vr_case_number, vr.region,                        vr.employer_name_normalized as employer_name,                        vr.unit_city as city, vr.unit_state as state,"
GET,/api/whd/search,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\whd.py,search_whd_cases,109,where_clause,"cur.execute(f""SELECT COUNT(*) as cnt FROM whd_cases WHERE {where_clause}"", params)             total = cur.fetchone()['cnt']              query_params = params + [limit, offset]"
