method,path,file,function,auth,depends,sql_mode,dynamic_patterns,params,user_input_profile,risk
GET,/api/cba/provisions/search,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\cba.py,search_cba_provisions,none,,read,L82:UNKNOWN,q:string;provision_class:string;category:string;union_name:string;employer_name:string;cba_id:numeric;page:numeric;limit:numeric;sort:enum_or_pattern_string;order:enum_or_pattern_string,string,Low
GET,/api/density/by-county,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\density.py,get_density_by_county,none,,read,L358:SELECT|L367:SELECT,state:string;min_density:numeric;max_density:numeric;limit:numeric;offset:numeric,string,High
GET,/api/density/state-industry-comparison,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\density.py,get_state_industry_comparison,none,,read,L669:SELECT,sort_by:string;order:string,string,High
GET,/api/density/ny/counties,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\density.py,get_ny_county_density,none,,read,L939:SELECT,min_density:numeric;max_density:numeric;sort_by:enum_or_pattern_string,string,High
GET,/api/density/ny/zips,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\density.py,get_ny_zip_density,none,,read,L1059:SELECT|L1073:SELECT,min_density:numeric;max_density:numeric;limit:numeric;offset:numeric,numeric_or_enum,Medium
GET,/api/density/ny/tracts,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\density.py,get_ny_tract_density,none,,read,L1148:SELECT|L1162:SELECT,county_fips:string;min_density:numeric;max_density:numeric;limit:numeric;offset:numeric,string,High
GET,/api/employers/search,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\employers.py,search_employers,none,,read,L75:SELECT|L82:SELECT|L124:SELECT|L133:SELECT,name:string;state:string;city:string;naics:string;aff_abbr:string;metro:string;sector:string;has_nlrb:bool;limit:numeric;offset:numeric,string,High
GET,/api/employers/fuzzy-search,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\employers.py,fuzzy_search_employers,none,,read,L166:SELECT|L177:SELECT,name:string;threshold:numeric;state:string;limit:numeric;offset:numeric,string,High
GET,/api/employers/normalized-search,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\employers.py,normalized_search_employers,none,,read,L214:SELECT|L232:SELECT,name:string;threshold:numeric;state:string;limit:numeric;offset:numeric,string,High
GET,/api/employers/unified-search,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\employers.py,unified_employer_search,none,,read,L397:UNKNOWN|L402:SELECT,name:string;state:string;city:string;metro:string;sector:string;naics:string;aff_abbr:string;source_type:string;has_union:bool;min_workers:numeric;max_workers:numeric;score_tier:enum_or_pattern_string;include_historical:bool;limit:numeric;offset:numeric,string,High
GET,/api/employers/flags/pending,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\employers.py,get_pending_flags,none,,read,L600:SELECT|L614:SELECT,flag_type:string;limit:numeric;offset:numeric,string,High
GET,/api/employers/unified/search,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\employers.py,search_unified_employers,none,,read,L1354:UNKNOWN|L1359:SELECT,name:string;state:string;city:string;source_type:string;has_union:bool;has_osha:bool;limit:numeric;offset:numeric,string,High
GET,/api/osha/unified-matches,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\employers.py,search_osha_unified_matches,none,,read,L1460:SELECT|L1471:SELECT,state:string;source_type:string;has_union:bool;min_confidence:numeric;match_method:string;limit:numeric;offset:numeric,string,High
GET,/api/stats/breakdown,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\health.py,get_stats_breakdown,none,,read,L102:SELECT|L112:SELECT|L126:SELECT|L139:SELECT,state:string;naics_code:string;cbsa_code:string;name:string,string,High
GET,/api/lookups/affiliations,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\lookups.py,get_affiliations,none,,read,L39:SELECT,sector:string,string,High
GET,/api/lookups/cities,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\lookups.py,get_cities_lookup,none,,read,L119:SELECT,state:string;cbsa:string;limit:numeric,string,High
GET,/api/museums/targets,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\museums.py,search_museum_targets,none,,read,L73:SELECT|L82:SELECT,tier:string;city:string;min_employees:numeric;max_employees:numeric;min_score:numeric;has_osha_violations:bool;has_govt_contracts:bool;search:string;sort_by:enum_or_pattern_string;sort_order:enum_or_pattern_string;limit:numeric;offset:numeric,string,High
GET,/api/museums/unionized,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\museums.py,get_unionized_museums,none,,read,L204:SELECT|L211:SELECT,city:string;search:string;limit:numeric;offset:numeric,string,High
GET,/api/nlrb/elections/search,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\nlrb.py,search_nlrb_elections,none,,read,L86:SELECT|L98:SELECT,state:string;aff_abbr:string;employer_name:string;union_won:bool;year_from:numeric;year_to:numeric;min_voters:numeric;limit:numeric;offset:numeric,string,High
GET,/api/nlrb/elections/map,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\nlrb.py,get_nlrb_elections_map,none,,read,L153:SELECT,state:string;aff_abbr:string;year_from:numeric;union_won:bool;limit:numeric,string,High
GET,/api/nlrb/elections/by-year,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\nlrb.py,get_nlrb_elections_by_year,none,,read,L185:SELECT,aff_abbr:string,string,High
GET,/api/nlrb/elections/by-state,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\nlrb.py,get_nlrb_elections_by_state,none,,read,L218:SELECT,year:numeric,numeric_or_enum,Medium
GET,/api/nlrb/ulp/search,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\nlrb.py,search_nlrb_ulp,none,,read,L332:SELECT|L344:SELECT,state:string;case_type:string;section:string;charged_party:string;year_from:numeric;year_to:numeric;limit:numeric;offset:numeric,string,High
GET,/api/nlrb/ulp/by-section,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\nlrb.py,get_nlrb_ulp_by_section,none,,read,L381:SELECT,year:numeric,numeric_or_enum,Medium
GET,/api/organizing/scorecard,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\organizing.py,get_organizing_scorecard,none,,read,L370:SELECT|L377:SELECT,state:string;naics_2digit:string;min_employees:numeric;max_employees:numeric;min_score:numeric;has_contracts:string;limit:numeric;offset:numeric,string,High
GET,/api/admin/match-quality,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\organizing.py,get_match_quality,admin,require_admin,read,L1166:SELECT,,numeric_or_enum,Low
GET,/api/admin/match-review,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\organizing.py,get_match_review,admin,require_admin,read,L1227:SELECT|L1260:SELECT,source:string;limit:numeric;offset:numeric,string,Low
GET,/api/osha/establishments/search,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\osha.py,search_osha_establishments,none,,read,L69:SELECT|L82:UNKNOWN,q:string;state:string;union_status:string;risk_level:string;naics:string;f7_matched:bool;limit:numeric;offset:numeric,string,High
GET,/api/osha/high-severity,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\osha.py,get_osha_high_severity,none,,read,L162:SELECT,state:string;violation_type:string;limit:numeric,string,High
GET,/api/osha/organizing-targets,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\osha.py,get_osha_organizing_targets,none,,read,L193:SELECT|L208:UNKNOWN,state:string;risk_level:string;limit:numeric;offset:numeric,string,High
GET,/api/projections/top,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\projections.py,get_top_projections,none,,read,L489:SELECT,growing:bool;limit:numeric,numeric_or_enum,Medium
GET,/api/public-sector/locals,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\public_sector.py,search_public_sector_locals,none,,read,L93:SELECT|L101:SELECT,state:string;parent_union:string;name:string;limit:numeric;offset:numeric,string,High
GET,/api/public-sector/employers,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\public_sector.py,search_public_sector_employers,none,,read,L141:UNKNOWN|L145:SELECT,state:string;employer_type:string;name:string;limit:numeric;offset:numeric,string,High
GET,/runs,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\research.py,list_research_runs,none,,read,L260:SELECT|L273:UNKNOWN,status:string;employer_id:string;naics:string;q:string;limit:numeric;offset:numeric,string,High
GET,/strategies,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\research.py,get_research_strategies,none,,read,L404:SELECT,naics:string;company_type:string,string,High
GET,/api/scorecard/unified,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\scorecard.py,get_unified_scorecard,none,,read,L156:UNKNOWN|L161:SELECT,state:string;naics:string;min_score:numeric;min_factors:numeric;score_tier:string;has_osha:bool;has_nlrb:bool;has_research:bool;sort:enum_or_pattern_string;offset:numeric;page_size:numeric,string,High
GET,/api/sectors/{sector}/targets,C:\Users\jakew\.local\bin\Labor Data Project_real\api\routers\sectors.py,search_sector_targets,none,,read,L153:SELECT|L162:SELECT,sector:string;tier:string;city:string;min_employees:numeric;max_employees:numeric;min_score:numeric;has_osha_violations:bool;has_govt_contracts:bool;search:string;sort_by:enum_or_pattern_string;sort_order:enum_or_pattern_string;limit:numeric;offset:numeric,string,High
