bucket,id,source_system,match_method,confidence_score,source_name,target_name,st
NLRB,205575,nlrb,name_zip_exact,0.980,ZERO WASTE SOLUTIONS,"Zero Waste Solutions, Inc.",CA
NLRB,205574,nlrb,name_zip_exact,0.980,Another Planet Entertainment,Another Planet Entertainment,CA
NLRB,205573,nlrb,canonical_zip,0.950,United Parcel Services,UPS,CA
NLRB,205572,nlrb,name_zip_exact,0.980,UPS,UPS,CA
NLRB,205571,nlrb,zip_partial,0.800,UPS Air Cargo,UPS,CA
OSHA,3060288,osha,FUZZY_TRIGRAM,0.481,JT CONSTRUCTION,Firvida Construction Corp.,VA
OSHA,3060287,osha,FUZZY_TRIGRAM,0.455,MATTHEWS CONSTRUCTION COMPANY INCORPORATED,IA Construction Corporation,MD
OSHA,3060286,osha,FUZZY_TRIGRAM,0.667,DOLI CONSTRUCTION CORPORATION,Lane Construction Corporation,PA
OSHA,3060285,osha,FUZZY_TRIGRAM,0.447,"PLUMBING & PIPE TECHNOLOGIES, INC. DBA PIPETECHS",Veyance Technologies Inc.,NC
OSHA,3060284,osha,FUZZY_TRIGRAM,0.580,"A & J CONSTRUCTION OF CENTRAL ILLINOIS, LLC",Central Illinois Construction Employers,IL
SPLINK~0.70,2984592,osha,NAME_AGGRESSIVE_STATE_SPLINK_RESOLVED,0.718,SAINT ANTHONY HOSPITAL,St. Anthony Hospital,IL
SPLINK~0.70,2983946,osha,NAME_AGGRESSIVE_STATE_SPLINK_RESOLVED,0.718,CROWN GROUP INC,CROWN GROUP,MI
SPLINK~0.70,2983891,osha,NAME_AGGRESSIVE_STATE_SPLINK_RESOLVED,0.718,"EDSAL MANUFACTURING CO., INC.",Edsal Manufacturing Company,IL
SPLINK~0.70,2983770,osha,NAME_AGGRESSIVE_STATE_SPLINK_RESOLVED,0.718,EDSAL MANUFACTURING,Edsal Manufacturing Company,IL
SPLINK~0.70,2983657,osha,NAME_AGGRESSIVE_STATE_SPLINK_RESOLVED,0.718,"THE NATIONAL THEATRE GROUP, LLC.",The National Theatre,DC
WHD/SAM,2598292,sam,FUZZY_TRIGRAM,0.408,SILANNA SEMICONDUCTOR NORTH AMERICA INC,BP PRODUCTS NORTH AMERICA INC,CA
WHD/SAM,2598291,sam,FUZZY_TRIGRAM,0.522,FILIDESI CORPORATION,C3 Corporation,IL
WHD/SAM,2598290,sam,FUZZY_TRIGRAM,0.455,TRIDENT RESOURCE SERVICES LLC,"REDI SERVICES, LLC",WY
WHD/SAM,2598289,sam,FUZZY_TRIGRAM,0.444,SOLTERRA ENGINEERING INC,"Austin Engineering USA, Inc.",WY
WHD/SAM,2598288,sam,FUZZY_TRIGRAM,0.400,THE RABBIT HOLE PRODUCTS LLC,"Timken Products, LLC",MO
