script,destructive_rebuild,reads,writes
C:\Users\jakew\.local\bin\Labor Data Project_real\scripts\etl\_fetch_usaspending_api.py,True,collections;db_config;federal_contract_recipients,federal_contract_recipients;global;if
C:\Users\jakew\.local\bin\Labor Data Project_real\scripts\etl\_integrate_qcew.py,True,_naics2_qcew_map;db_config;f7_by_state;f7_employers;f7_industry_scores;qcew;qcew_annual;qcew_by_state;qcew_industry_density;state_fips_map,_naics2_qcew_map;create_qcew_industry_density;exists;f7_industry_scores;if;qcew_industry_density;state_fips_map;to;using
C:\Users\jakew\.local\bin\Labor Data Project_real\scripts\etl\_match_usaspending.py,True,_f7_normalized;corporate_identifier_crosswalk;db_config;f7_employers;f7_federal_scores;federal_contract_recipients;pg_extension;usaspending;usaspending_f7_matches,_f7_normalized;corporate_identifier_crosswalk;existing;f7_federal_scores;for;if;the;usaspending_f7_matches;with
C:\Users\jakew\.local\bin\Labor Data Project_real\scripts\etl\build_crosswalk.py,True,best_f7_per_ein;corporate_hierarchy;corporate_identifier_crosswalk;corpwatch_companies;corpwatch_f7_matches;db_config;f7_eins;f7_employers_deduped;gleif;gleif_ownership_links;gleif_us_entities;mergent;mergent_employers;national_990_f7_matches;parent_duns;sec_companies,corporate_hierarchy;corporate_identifier_crosswalk;created;existing;if
C:\Users\jakew\.local\bin\Labor Data Project_real\scripts\etl\bulk_load_cbas.py,False,cba_documents;db_config;dotenv;filename;pathlib,
C:\Users\jakew\.local\bin\Labor Data Project_real\scripts\etl\calculate_occupation_similarity.py,True,bls_industry_occupation_matrix;db_config;industry;occupation_similarity;pathlib;typing,if;occupation_similarity;table
C:\Users\jakew\.local\bin\Labor Data Project_real\scripts\etl\clean_nlrb_participants.py,False,case_states;city;co;db_config;index;nlrb_participants;other;unique_state,join;nlrb_participants
C:\Users\jakew\.local\bin\Labor Data Project_real\scripts\etl\compute_industry_occupation_overlap.py,True,bls_industry_occupation_matrix;collections;db_config;industry_occupation_overlap;naics_to_bls_industry,if;industry_occupation_overlap;naics_to_bls_industry;print;set;via
C:\Users\jakew\.local\bin\Labor Data Project_real\scripts\etl\create_state_industry_estimates.py,True,bls;bls_national_industry_density;cps;db_config;estimated_state_industry_density;state_industry_density_comparison,estimated_state_industry_density;if
C:\Users\jakew\.local\bin\Labor Data Project_real\scripts\etl\dedup_master_employers.py,True,__future__;dataclasses;db_config;ids;master_employer_dedup_progress;master_employer_source_ids;master_employers;pathlib;pg_class;pg_constraint;pg_namespace;psycopg2;rapidfuzz;src;typing,if;master_employer_dedup_progress;master_employer_merge_log;master_employer_source_ids;master_employers;set
C:\Users\jakew\.local\bin\Labor Data Project_real\scripts\etl\download_bls_union_tables.py,False,bls;pathlib,from
C:\Users\jakew\.local\bin\Labor Data Project_real\scripts\etl\extract_gleif_us_optimized.py,True,db_config;gleif_us_entities;print,created;fresh;gleif_us_entities;if;lei;print
C:\Users\jakew\.local\bin\Labor Data Project_real\scripts\etl\fetch_qcew.py,True,db_config;qcew_annual,if;qcew_annual;ready
C:\Users\jakew\.local\bin\Labor Data Project_real\scripts\etl\geocode_batch_prep.py,False,db_config;f7_employers_deduped,
C:\Users\jakew\.local\bin\Labor Data Project_real\scripts\etl\geocode_batch_run.py,False,data;db_config;existing;f7_employers_deduped,f7_employers_deduped
C:\Users\jakew\.local\bin\Labor Data Project_real\scripts\etl\infer_naics.py,False,active;agg;db_config;f7_employers_deduped;osha_establishments;picked;raw;unified_match_log;whd_cases,f7_employers_deduped
C:\Users\jakew\.local\bin\Labor Data Project_real\scripts\etl\infer_naics_keywords.py,False,collections;db_config;employer;f7_employers_deduped,f7_employers_deduped;only
C:\Users\jakew\.local\bin\Labor Data Project_real\scripts\etl\irs_bmf_loader.py,False,db_config;irs;irs_bmf;pathlib;propublica,for;irs_bmf;set;uses
C:\Users\jakew\.local\bin\Labor Data Project_real\scripts\etl\load_bls_projections.py,True,bls_industry_occupation_matrix;bls_industry_projections;bls_occupation_projections;code;csv;db_config;filename;fresh;glob;v_naics_union_density,bls_industry_occupation_matrix;bls_industry_projections;bls_naics_sector_map;bls_occupation_projections;from;if;py;v_high_wage_growing_occupations;v_industry_growth_opportunities;v_industry_top_occupations;v_industry_union_risk
C:\Users\jakew\.local\bin\Labor Data Project_real\scripts\etl\load_bmf_bulk.py,True,__future__;_irs_bmf_stage;collections;dataclasses;datetime;db_config;irs;irs_bmf;parse_csv_stream;parse_delimited_text;parse_fixed_width_stream;pathlib;stage_dedup;stdin;typing,_irs_bmf_stage;db;if;irs_bmf;set;table
C:\Users\jakew\.local\bin\Labor Data Project_real\scripts\etl\load_corpwatch.py,True,another;best;corporate_hierarchy;corporate_identifier_crosswalk;corpwatch;corpwatch_companies;corpwatch_f7_matches;corpwatch_locations;corpwatch_relationships;db_config;master_employer_source_ids;master_employers;pathlib;pg_constraint;unified_match_log,corporate_hierarchy;corporate_identifier_crosswalk;corpwatch_companies;corpwatch_f7_matches;corpwatch_filing_index;corpwatch_locations;corpwatch_names;corpwatch_relationships;corpwatch_subsidiaries;count;for;if;master_employer_source_ids;master_employers;postgresql;print;set;unified_match_log
C:\Users\jakew\.local\bin\Labor Data Project_real\scripts\etl\load_gleif_bods.py,True,address;db_config;entity_statement;gleif_ownership_links;gleif_us_entities;identifiers;jurisdiction,gleif_ownership_links;gleif_us_entities;if;in;the
C:\Users\jakew\.local\bin\Labor Data Project_real\scripts\etl\load_national_990.py,True,collections;datetime;db_config;f7_employers_deduped;mergent_employers;national;national_990_filers;ny_990_filers,create_table;database;does;existing;if;national_990_filers;ny_990_filers;table
C:\Users\jakew\.local\bin\Labor Data Project_real\scripts\etl\load_onet_data.py,True,db_config;onet_job_zones;onet_work_context;path;pathlib,if;onet_job_zones;onet_work_context;table
C:\Users\jakew\.local\bin\Labor Data Project_real\scripts\etl\load_osha_violations.py,True,datetime;db_config;inspection;osha_establishments;osha_violations_detail;sqlite;violation,osha_violations_detail;postgresql;table
