State,EPI_Private,Platform_Private_Reconciled,Private_Coverage_Pct,EPI_Public,Platform_Public,Public_Quality_Flag
AK,20385,18802,92.2,32000,5451,OVERCOUNTED
AL,78538,51462,65.5,61000,0,OVERCOUNTED
AR,26025,42194,162.1,19000,7,OVERCOUNTED
AZ,65763,42710,64.9,52000,3104,OVERCOUNTED
CA,1091677,1011671,92.7,1283000,898582,REASONABLE
CO,104024,54228,52.1,103000,23372,OVERCOUNTED
CT,113037,72786,64.4,156000,183046,OVERCOUNTED
DC,17283,202107,1169.4,21000,1601844,OVERCOUNTED
DE,12342,12032,97.5,25000,6063,OVERCOUNTED
FL,215919,145162,67.2,246000,172370,REASONABLE
GA,88818,119844,134.9,86000,1416,OVERCOUNTED
HI,63592,40837,64.2,84000,13147,UNDERCOUNTED
IA,51552,63665,123.5,41000,6756,OVERCOUNTED
ID,21445,28418,132.5,21000,0,OVERCOUNTED
IL,382476,423156,110.6,352000,604727,OVERCOUNTED
IN,188006,165622,88.1,82000,6931,OVERCOUNTED
KS,43261,64332,148.7,40000,1064,OVERCOUNTED
KY,117846,101540,86.2,38000,400,OVERCOUNTED
LA,34103,36169,106.1,34000,17163,REASONABLE
MA,228375,168589,73.8,266000,222838,REASONABLE
MD,110514,125274,113.4,214000,47634,UNDERCOUNTED
ME,37730,7763,20.6,39000,31869,OVERCOUNTED
MI,402477,345784,85.9,178000,185564,OVERCOUNTED
MN,197917,290466,146.8,179000,201107,OVERCOUNTED
MO,147865,181977,123.1,85000,18501,OVERCOUNTED
MS,38530,22465,58.3,20000,40,OVERCOUNTED
MT,25863,12010,46.4,30000,25894,OVERCOUNTED
NC,63643,42096,66.1,44000,5440,REASONABLE
ND,10265,9854,96.0,8000,35,OVERCOUNTED
NE,24504,17157,70.0,38000,755,OVERCOUNTED
NH,27381,7867,28.7,35000,10229,OVERCOUNTED
NJ,352849,235250,66.7,327000,86709,OVERCOUNTED
NM,25697,34936,136.0,37000,10294,UNDERCOUNTED
NV,106416,118420,111.3,59000,10216,OVERCOUNTED
NY,781226,780442,99.9,925000,1337601,OVERCOUNTED
OH,351676,321415,91.4,270000,229575,REASONABLE
OK,34430,19503,56.6,57000,495,UNDERCOUNTED
OR,151290,103625,68.5,142000,135714,OVERCOUNTED
PA,344832,324207,94.0,322000,453588,OVERCOUNTED
RI,36660,33201,90.6,36000,35215,OVERCOUNTED
SC,26931,14634,54.3,34000,0,OVERCOUNTED
SD,4965,4566,92.0,7000,0,OVERCOUNTED
TN,78333,69121,88.2,57000,7487,OVERCOUNTED
TX,308806,351755,113.9,293000,22944,REASONABLE
UT,26912,36123,134.2,31000,0,REASONABLE
VA,84702,111670,131.8,123000,4732,OVERCOUNTED
VT,19683,6768,34.4,23000,27416,OVERCOUNTED
WA,285629,322919,113.1,262000,223488,REASONABLE
WI,118440,151770,128.1,62000,14268,OVERCOUNTED
WV,30972,34877,112.6,30000,4999,REASONABLE
WY,7136,1918,26.9,7000,373,UNDERCOUNTED

TOTALS,7228741,7005159,96.9,7016000,6900463,
