loser_master_id,winner_master_id,loser_ein,winner_ein,loser_canonical,loser_display,loser_state,winner_canonical,winner_display,winner_state
3470219,7933241,205126049,341214508,anne grady,ANNE GRADY CORPORATION,OH,anne grady,ANNE GRADY CORPORATION,OH
1967355,1946885,133098640,133339071,atalanta sosnoff capital,"ATALANTA SOSNOFF CAPITAL, LLC",NY,atalanta sosnoff capital,ATALANTA/SOSNOFF CAPITAL CORPORATION,NY
8007009,7827722,650674664,593172774,bobby allison wireless,BOBBY ALLISON WIRELESS CORP,FL,bobby allison wireless,BOBBY ALLISON WIRELESS CORPORATION,FL
2730640,1984380,452849604,166001542,bradford central school pto,BRADFORD CENTRAL SCHOOL PTO,NY,bradford central school pto,BRADFORD CENTRAL SCHOOL PTO INCORPORATED,NY
3517789,1975004,133009946,133318053,bryant park,BRYANT PARK CORPORATION,NY,bryant park,BRYANT PARK CORPORATION,NY
1994660,1978025,160958146,262614958,carrols,CARROLS CORPORATION,NY,carrols,CARROLS LLC,NY
2377533,7802397,464475884,480823001,center industries,CENTER INDUSTRIES COMPANY INC,KS,center industries,CENTER INDUSTRIES CORPORATION,KS
7946152,8596147,431705073,430223275,columbia missouri investment,COLUMBIA MISSOURI INVESTMENT COMPANY,MO,columbia missouri investment,COLUMBIA MISSOURI INVESTMENT COMPANY,MO
2054050,7685080,200067354,261228998,connexus,CONNEXUS INCORPORATED,TN,connexus,CONNEXUS INCORPORATED,TN
8919409,7572424,431267103,061174588,conning,"CONNING, INC.",CT,conning,CONNING & COMPANY,CT
7940459,1965452,141805236,237120570,daughters of sarah housing,"DAUGHTERS OF SARAH HOUSING COMPANY, INC.",NY,daughters of sarah housing,"DAUGHTERS OF SARAH HOUSING COMPANY, INC.",NY
8006468,7737682,364071814,363837230,deere receivables,DEERE RECEIVABLES CORP,NV,deere receivables,DEERE RECEIVABLES CORPORATION,NV
2256045,1973034,161574195,237118599,finger lakes community college student,FINGER LAKES COMMUNITY COLLEGE STUDENT CORPORATION,NY,finger lakes community college student,FINGER LAKES COMMUNITY COLLEGE STUDENT CORPORATION,NY
8224518,1968540,392899206,112464137,fonar,"FONAR, LLC",NY,fonar,FONAR CORPORATION,NY
3973642,1994063,112506183,111627279,general building laborers union local 66 building,GENERAL BUILDING LABORERS UNION LOCAL 66 BUILDING CORPORATION,NY,general building laborers union local 66 building,GENERAL BUILDING LABORERS UNION LOCAL 66 BUILDING CORPORATION,NY
3090467,7823299,954712513,300271532,genesis la economic growth,GENESIS LA ECONOMIC GROWTH CORPORATION,CA,genesis la economic growth,GENESIS LA ECONOMIC GROWTH CORPORATION,CA
2362218,1951097,237447904,161578764,greater baldwinsville ambulance,GREATER BALDWINSVILLE AMBULANCE CORP,NY,greater baldwinsville ambulance,GREATER BALDWINSVILLE AMBULANCE CORPORATION,NY
7985358,7567370,420704420,020579213,hach,HACH CO,CO,hach,HACH COMPANY,CO
3813184,7668052,010347202,020356536,hill street terrace housing,HILL STREET TERRACE HOUSING CORP,ME,hill street terrace housing,HILL STREET TERRACE HOUSING CORPORATION,ME
3067218,7683136,203448706,936001547,home forward development enterprises,HOME FORWARD DEVELOPMENT ENTERPRISES CORPORATION,OR,home forward development enterprises,HOME FORWARD DEVELOPMENT ENTERPRISES CORPORATION,OR
2120737,7834182,421214778,420890017,hope haven,HOPE HAVEN MANAGEMENT CORPORATION,IA,hope haven,"HOPE HAVEN, INCORPORATED",IA
2307804,9019529,203375662,953139388,hope house,HOPE HOUSE INTERNATIONAL INC,CA,hope house,HOPE HOUSE CORPORATION,CA
3366556,1956268,133246249,134152131,hss properties,HSS PROPERTIES CORPORATION,NY,hss properties,HSS PROPERTIES CORPORATION,NY
7984698,7692178,750351010,752151829,hunt oil,HUNT OIL CO,TX,hunt oil,HUNT OIL COMPANY,TX
4330782,7900781,061253219,621849047,icba securities,ICBA SECURITIES,TN,icba securities,ICBA SECURITIES CORPORATION,TN
3468808,1965561,300105507,137196510,imentor,IMENTOR INCORPORATED,NY,imentor,IMENTOR INCORPORATED,NY
7955209,1960920,113474702,203308192,mastic volunteer ambulance,MASTIC VOLUNTEER AMBULANCE COMPANY,NY,mastic volunteer ambulance,"MASTIC VOLUNTEER AMBULANCE COMPANY, INC.",NY
2414892,8986152,262117502,272007902,max planck florida,MAX PLANCK FLORIDA CORPORATION,FL,max planck florida,MAX PLANCK FLORIDA CORPORATION,FL
8016267,7727565,223061500,943081144,mercer products,MERCER PRODUCTS CO INC,FL,mercer products,MERCER PRODUCTS COMPANY INC,FL
2576764,7786977,411818507,410785271,minnesota afl cio building,MINNESOTA AFL-CIO BUILDING CORPORATION,MN,minnesota afl cio building,MINNESOTA AFL-CIO BUILDING CORPORATION,MN
2264071,8927057,300402070,880198859,nevada state development,NEVADA STATE DEVELOPMENT CORPORATION,NV,nevada state development,NEVADA STATE DEVELOPMENT CORPORATION,NV
2555191,7569081,941458282,680046750,northbay healthcare,NORTHBAY HEALTHCARE CORPORATION,CA,northbay healthcare,NORTHBAY HEALTHCARE CORPORATION,CA
