schema,object_name,object_type,row_count,column_count,has_primary_key,size_bytes,size_pretty_mb,count_time_ms,count_error,last_vacuum,last_autovacuum,last_analyze,last_autoanalyze
public,all_employers_unified,view,96439,18,,0,0.0,7750,,,,,
public,ar_assets_investments,table,304816,6,False,27738112,26.453,43,,,,2026-02-19 08:25:54.343261-05:00,
public,ar_disbursements_emp_off,table,2813248,20,False,341196800,325.391,116,,,,2026-02-19 08:25:56.745984-05:00,
public,ar_disbursements_total,table,216372,23,False,22519808,21.477,37,,,,2026-02-19 08:25:54.585310-05:00,
public,ar_membership,table,216508,7,False,17481728,16.672,36,,,,2026-02-19 08:25:54.088088-05:00,
public,bls_fips_lookup,table,52,3,True,24576,0.023,1,,,,2026-02-19 08:25:53.708380-05:00,
public,bls_industry_density,table,12,5,True,24576,0.023,0,,,,2026-02-19 08:26:30.105307-05:00,
public,bls_industry_lookup,table,39,2,True,24576,0.023,0,,,,2026-02-19 08:25:53.708970-05:00,
public,bls_industry_occupation_matrix,table,67699,14,True,13787136,13.148,7,,,,2026-02-19 08:26:25.869404-05:00,
public,bls_industry_projections,table,423,14,True,131072,0.125,0,,,,2026-02-19 08:26:38.101605-05:00,
public,bls_industry_union_density,view,5472,6,,0,0.0,22,,,,,
public,bls_naics_mapping,table,22,3,True,24576,0.023,0,,,,2026-02-19 08:26:00.306490-05:00,
public,bls_naics_sector_map,table,231,4,True,65536,0.062,0,,,,2026-02-19 08:26:38.103899-05:00,
public,bls_national_industry_density,table,9,9,True,24576,0.023,0,,,,2026-02-19 08:26:05.254589-05:00,
public,bls_national_union_trends,view,9832,7,,0,0.0,15,,,,,
public,bls_occupation_lookup,table,30,2,True,24576,0.023,0,,,,2026-02-19 08:25:53.709693-05:00,
public,bls_occupation_projections,table,1113,17,True,311296,0.297,1,,,,2026-02-19 08:25:54.606421-05:00,
public,bls_occupation_union_density,view,4328,6,,0,0.0,13,,,,,
public,bls_state_density,table,51,9,True,24576,0.023,0,,,,2026-02-19 08:26:05.259144-05:00,
public,bls_state_union_rates,view,2550,5,,0,0.0,6,,,,,
public,bls_union_data,table,31007,5,True,3194880,3.047,1,,,,2026-02-19 08:25:53.755282-05:00,
public,bls_union_series,table,1232,25,True,1302528,1.242,0,,,,2026-02-19 08:25:53.727110-05:00,
public,cba_documents,table,17,20,True,98304,0.094,1,,,,,
public,cba_provisions,table,208,16,True,270336,0.258,1,,,,,2026-02-22 18:02:14.398425-05:00
public,cba_wage_schedules,table,0,12,True,24576,0.023,0,,,,,
public,cbsa_counties,table,1915,8,True,344064,0.328,0,,,,2026-02-19 08:26:12.287232-05:00,
public,cbsa_definitions,table,935,6,True,172032,0.164,0,,,,2026-02-19 08:26:07.579989-05:00,
public,census_industry_naics_xwalk,table,24373,5,True,2539520,2.422,3,,,,2026-02-19 08:26:05.715315-05:00,
public,census_occupation_soc_xwalk,table,34540,5,True,3440640,3.281,3,,,,2026-02-19 08:26:05.533915-05:00,
public,contract_employer_matches,table,8954,7,True,1613824,1.539,2,,,,2026-02-19 08:26:16.691937-05:00,
public,corporate_hierarchy,table,125120,13,True,22618112,21.57,13,,,,2026-02-19 08:26:27.919749-05:00,
public,corporate_identifier_crosswalk,table,26705,19,True,8568832,8.172,4,,,2026-02-19 14:50:30.609847-05:00,2026-02-19 08:26:35.038660-05:00,2026-02-19 14:50:30.878350-05:00
public,county_industry_shares,table,3144,17,True,647168,0.617,1,,,,2026-02-19 08:26:30.135793-05:00,
public,county_union_density_estimates,table,3144,27,True,3301376,3.148,1,,,,2026-02-19 08:26:30.185314-05:00,
public,county_workforce_shares,table,3144,15,True,573440,0.547,1,,,,2026-02-19 08:26:30.080150-05:00,
public,crosswalk_affiliation_sector_map,table,111,4,True,65536,0.062,0,,,,2026-02-19 08:25:58.165843-05:00,
public,crosswalk_f7_only_unions,table,167,5,True,73728,0.07,0,,,,2026-02-19 08:25:58.542980-05:00,
public,crosswalk_sector_lookup,table,6,5,True,32768,0.031,0,,,,2026-02-19 08:25:58.163254-05:00,
public,crosswalk_unions_master,table,50039,16,True,9191424,8.766,6,,,,2026-02-19 08:25:58.540908-05:00,
public,data_source_freshness,table,19,7,True,32768,0.031,0,,,,2026-02-19 08:26:35.156470-05:00,
public,deduplication_methodology,table,11,5,True,32768,0.031,0,,,,2026-02-19 08:25:57.272476-05:00,
public,discovered_employers,table,32,17,True,65536,0.062,0,,,,2026-02-19 08:26:05.722067-05:00,
public,employer_990_matches,table,514,12,True,196608,0.188,1,,,,2026-02-19 08:26:16.112082-05:00,
public,employer_canonical_groups,table,16786,9,True,6512640,6.211,3,,,2026-02-21 14:09:00.104659-05:00,2026-02-19 08:25:58.850863-05:00,2026-02-21 13:23:57.147536-05:00
public,employer_comparables,table,269785,7,True,146513920,139.727,54,,,,2026-02-19 08:26:00.772016-05:00,
