employer_name,city,state,zip,naics,sector,employer_type,workers,union_names,union_count,affiliation,latest_date,time_period,data_sources,source_count,location_count,locations,canonical_group_id,ein,is_public_company,is_federal_contractor,primary_source,employer_id
New York State United Teachers (NYSUT),,NY,,,Public,PUBLIC_SECTOR,467000,,0,AFT/NEA,,Current,Manual,1,1,,,,,,MANUAL,
Civil Service Employees Association (CSEA) Local 1000,,NY,,,Public,PUBLIC_SECTOR,250000,,0,AFSCME,,Current,Manual,1,1,,,,,,MANUAL,
District Council 37 AFSCME,,NY,,,Public,PUBLIC_SECTOR,150000,,0,AFSCME,,Current,Manual,1,1,,,,,,MANUAL,
Public Employees Federation (PEF),,NY,,,Public,PUBLIC_SECTOR,55000,,0,AFT/SEIU,,Current,Manual,1,1,,,,,,MANUAL,
Transport Workers Union Local 100,,NY,,,Public,PUBLIC_SECTOR,42000,,0,TWU,,Current,Manual,1,1,,,,,,MANUAL,
Federal Government New York - AFGE District 2,New York City,NY,,,Public,PUBLIC_SECTOR,28000,AFGE District 2,1,AFGE,,Current,Manual,1,1,New York City,,,,,MANUAL,
Police Benevolent Association of NYC,,NY,,,Public,PUBLIC_SECTOR,24000,,0,Independent,,Current,Manual,1,1,,,,,,MANUAL,
NY State Correctional Officers and Police Benevolent Association (NYSCOPBA),,NY,,,Public,PUBLIC_SECTOR,20000,,0,Independent,,Current,Manual,1,1,,,,,,MANUAL,
Detectives Endowment Association (DEA) NYPD,,NY,,,Public,PUBLIC_SECTOR,19000,,0,Independent,,Current,Manual,1,1,,,,,,MANUAL,
Sergeants Benevolent Association (SBA) NYPD,,NY,,,Public,PUBLIC_SECTOR,13000,,0,Independent,,Current,Manual,1,1,,,,,,MANUAL,
Federal Government New York - Other Federal Unions,New York City,NY,,,Public,PUBLIC_SECTOR,12000,Various Federal Unions,1,NFFE/NTEU/NALC,,Current,Manual,1,1,New York City,,,,,MANUAL,
CWA Local 1180,,NY,,,Public,PUBLIC_SECTOR,9000,,0,CWA,,Current,Manual,1,1,,,,,,MANUAL,
Correction Officers Benevolent Association (COBA) NYC,,NY,,,Public,PUBLIC_SECTOR,9000,,0,Independent,,Current,Manual,1,1,,,,,,MANUAL,
Uniformed Firefighters Association (UFA) Local 94,,NY,,,Public,PUBLIC_SECTOR,9000,,0,IAFF,,Current,Manual,1,1,,,,,,MANUAL,
Amazon (JFK8 Warehouse),Staten Island,NY,,49,Private,SINGLE_EMPLOYER,8000,Amazon Labor Union / IBT,1,IBT,2022-04-01,Current,Manual,1,1,Staten Island,,,,,MANUAL,
Home Health Aides (HHWA - aggregate NY),New York,NY,,62,Private,SINGLE_EMPLOYER,6700,1199SEIU,1,SEIU,2022-01-01,Current,Manual,1,1,New York,,,,,MANUAL,
NY State Troopers PBA,,NY,,,Public,PUBLIC_SECTOR,5000,,0,Independent,,Current,Manual,1,1,,,,,,MANUAL,
New York University (Researchers United),New York,NY,,61,Private,SINGLE_EMPLOYER,4000,UAW,1,UAW,2025-01-01,Current,Manual,1,1,New York,,,,,MANUAL,
Lieutenants Benevolent Association (LBA) NYPD,,NY,,,Public,PUBLIC_SECTOR,3500,,0,Independent,,Current,Manual,1,1,,,,,,MANUAL,
Uniformed Fire Officers Association (UFOA),,NY,,,Public,PUBLIC_SECTOR,3500,,0,IAFF,,Current,Manual,1,1,,,,,,MANUAL,
Cornell University Graduate Workers,Ithaca,NY,,61,Private,SINGLE_EMPLOYER,2400,UAW / UE,1,UAW,2022-03-01,Current,Manual,1,1,Ithaca,,,,,MANUAL,
NY State Court Officers Association,,NY,,,Public,PUBLIC_SECTOR,1500,,0,Independent,,Current,Manual,1,1,,,,,,MANUAL,
Fordham University Graduate Workers,Bronx,NY,,61,Private,SINGLE_EMPLOYER,1200,CWA,1,CWA,2022-10-01,Current,Manual,1,1,Bronx,,,,,MANUAL,
PBA of New York State (APSU),,NY,,,Public,PUBLIC_SECTOR,1200,,0,Independent,,Current,Manual,1,1,,,,,,MANUAL,
Amazon ALB1 Warehouse,Schodack,NY,,,Private,SINGLE_EMPLOYER,1000,Amazon Labor Union / International Brotherhood of Teamsters,1,IBT,,Current,Manual,1,1,Schodack,,,,,MANUAL,
Captains Endowment Association (CEA) NYPD,,NY,,,Public,PUBLIC_SECTOR,900,,0,Independent,,Current,Manual,1,1,,,,,,MANUAL,
Mount Sinai Graduate School,New York,NY,,61,Private,SINGLE_EMPLOYER,800,UAW Local 2110,1,UAW,2023-09-01,Current,Manual,1,1,New York,,,,,MANUAL,
Metropolitan Museum of Art,New York,NY,,71,Private,SINGLE_EMPLOYER,700,UAW Local 2110,1,UAW,2026-01-15,Current,Manual,1,1,New York,,,,,MANUAL,
Cannabis Industry Workers (NY - aggregate),New York,NY,,44,Private,SINGLE_EMPLOYER,600,RWDSU/UFCW Local 338,1,RWDSU,2023-06-01,Current,Manual,1,1,New York,,,,,MANUAL,
New York Times (Tech Guild),New York,NY,,51,Private,SINGLE_EMPLOYER,600,NewsGuild-CWA Local 31003,1,CWA,2022-03-03,Current,Manual,1,1,New York,,,,,MANUAL,
New York City Council,New York,NY,,92,Private,SINGLE_EMPLOYER,382,CWA Local 1180,1,CWA,2024-01-01,Current,Manual,1,1,New York,,,,,MANUAL,
HuffPost,New York,NY,,,Private,SINGLE_EMPLOYER,262,Writers Guild of America East (WGAE),1,WGAE,,Current,Manual,1,1,New York,,,,,MANUAL,
Activision Blizzard QA (Blizzard Albany),Albany,NY,,51,Private,SINGLE_EMPLOYER,200,CWA,1,CWA,2023-07-01,Current,Manual,1,1,Albany,,,,,MANUAL,
Blank Street Coffee (NY - aggregate),New York,NY,,72,Private,SINGLE_EMPLOYER,200,Workers United/SEIU,1,WU,2024-01-01,Current,Manual,1,1,New York,,,,,MANUAL,
The Public Theater,New York,NY,,71,Private,SINGLE_EMPLOYER,190,IATSE,1,IATSE,2023-06-01,Current,Manual,1,1,New York,,,,,MANUAL,
Neighborhood Defender Service of Harlem,New York,NY,,54,Private,SINGLE_EMPLOYER,150,UAW Local 2325 (ALAA),1,UAW,2022-01-01,Current,Manual,1,1,New York,,,,,MANUAL,
REI SoHo,New York,NY,,44,Private,SINGLE_EMPLOYER,100,RWDSU,1,RWDSU,2022-03-02,Current,Manual,1,1,New York,,,,,MANUAL,
Gawker Media,New York,NY,,,Private,SINGLE_EMPLOYER,100,Writers Guild of America East (WGAE),1,WGAE,,Current,Manual,1,1,New York,,,,,MANUAL,
Starbucks Reserve Roastery,New York,NY,,72,Private,SINGLE_EMPLOYER,100,Workers United/SEIU,1,WU,2023-06-01,Current,Manual,1,1,New York,,,,,MANUAL,
Avalanche Studios (Expansive Worlds),New York,NY,,51,Private,SINGLE_EMPLOYER,100,CWA,1,CWA,2024-01-01,Current,Manual,1,1,New York,,,,,MANUAL,
CBS News Digital,New York,NY,,51,Private,SINGLE_EMPLOYER,100,WGA East,1,UNAFF,2023-06-01,Current,Manual,1,1,New York,,,,,MANUAL,
Torrey Farms,Elba,NY,,11,Private,SINGLE_EMPLOYER,80,United Farm Workers,1,UNAFF,2023-01-01,Current,Manual,1,1,Elba,,,,,MANUAL,
Thrillist,New York,NY,,,Private,SINGLE_EMPLOYER,60,Writers Guild of America East (WGAE),1,WGAE,,Current,Manual,1,1,New York,,,,,MANUAL,
Riverview Nursery,Rensselaer,NY,,11,Private,SINGLE_EMPLOYER,60,United Farm Workers,1,UNAFF,2023-01-01,Current,Manual,1,1,Rensselaer,,,,,MANUAL,
Quartz,New York,NY,,,Private,SINGLE_EMPLOYER,60,NewsGuild-CWA,1,CWA,,Current,Manual,1,1,New York,,,,,MANUAL,
LynOaken Farms,Medina,NY,,11,Private,SINGLE_EMPLOYER,50,United Farm Workers,1,UNAFF,2023-01-01,Current,Manual,1,1,Medina,,,,,MANUAL,
Refinery29,New York,NY,,,Private,SINGLE_EMPLOYER,50,Writers Guild of America East (WGAE),1,WGAE,,Current,Manual,1,1,New York,,,,,MANUAL,
Marks Farms,Lowville,NY,,11,Private,SINGLE_EMPLOYER,50,United Farm Workers,1,UNAFF,2023-01-01,Current,Manual,1,1,Lowville,,,,,MANUAL,
H&H Farms,Canandaigua,NY,,11,Private,SINGLE_EMPLOYER,45,United Farm Workers,1,UNAFF,2023-01-01,Current,Manual,1,1,Canandaigua,,,,,MANUAL,
Wafler Farms,Wolcott,NY,,11,Private,SINGLE_EMPLOYER,40,United Farm Workers,1,UNAFF,2023-01-01,Current,Manual,1,1,Wolcott,,,,,MANUAL,
Ellsworth & Rose,Albion,NY,,11,Private,SINGLE_EMPLOYER,35,United Farm Workers,1,UNAFF,2023-01-01,Current,Manual,1,1,Albion,,,,,MANUAL,
The Intercept,New York,NY,,,Private,SINGLE_EMPLOYER,32,Writers Guild of America East (WGAE),1,WGAE,,Current,Manual,1,1,New York,,,,,MANUAL,
Lemonada Media,New York,NY,,51,Private,SINGLE_EMPLOYER,30,WGA East,1,UNAFF,2023-09-01,Current,Manual,1,1,New York,,,,,MANUAL,
King Street Productions Inc.,New York,NY,10036,71,Private,SINGLE_EMPLOYER,159999,Screen Actors Guild-American Federation of Television & Radio Artists ,1,,2023-08-18,Current,"F7, 990, SAM, Mergent",3,1,New York,,,,,F7_OLMS,e0e1bc46029e63af
League of Voluntary Hospitals and Homes of New York,New York,NY,10019,62,Private,SINGLE_EMPLOYER,70000,SEIU / UHWE-1199,1,,2014-04-15,Historical,F7,0,1,New York,,,,,F7_OLMS,bbd7e35a043a4bca
Verizon Companies,New York,NY,10001,51,Private,CANONICAL_GROUP,69171,CWA-1 | CWA-,2,,2011-06-02,Historical,"F7, OSHA, WHD",2,2,New York | Mineola,7858,,,,F7_OLMS,19fb8e1a4f1ee6cf
Nursing Homes & Rehabilitation Facilities NYC & Vic  (SEIU/UHWE Local 1199),New York,NY,10017,62,Private,SINGLE_EMPLOYER,60001,SEIU/UHWE-1199,1,,2017-07-03,Historical,F7,0,1,New York,,,,,F7_OLMS,fc11224ddad496c3
Federal Bureau of Prison,New York,NY,10007,92,Public,SINGLE_EMPLOYER,32000,AFGE Council of Prison-3148,1,AFGE,2011-02-01,Historical,F7,0,1,New York,,,,,F7_OLMS,bd9e8dddb9ecb587
Drywall Tapers and Pointer of Greater NY  (PAT Local 1974),Brooklyn,NY,11208-5422,23,Private,SINGLE_EMPLOYER,11000,PAT-1974,1,PAT,2017-04-10,Historical,F7,0,1,Brooklyn,,,,,F7_OLMS,d16bc186a67daddc
Metropolitan Parking Association,Lynbrook,NY,11563,48,Private,CANONICAL_GROUP,10000,International Brotherhood of Teamsters Local 272 | IBT-272,2,IBT,2023-05-08,Current,"F7, 990",1,2,Lynbrook | New York,15759,130654670,,,F7_OLMS,373acc69319b023e
LORT,New York,NY,10036,81,Private,SINGLE_EMPLOYER,9500,Actors Equity-,1,,2013-02-05,Historical,F7,0,1,New York,,,,,F7_OLMS,0c56df842aca615f
"LMC Industrial Contractors, Inc.",Dansville,NY,14437,23,Private,CANONICAL_GROUP,9010,United Association of Journeymen & Apprentices of the Plumbing & Pipe Fitting Industry of the United States & Canada AFL-CIO  | International Union of Operating Engineers 17,2,IUOE,2025-12-02,Current,"F7, OSHA, SAM",2,2,Dansville | Avon,11818,,,,F7_OLMS,ee29006613f1ff44
National Automatic Fire Sprinkler (NFSA),Patterson,NY,12563-2164,56,Private,SINGLE_EMPLOYER,9000,Road Sprinkler Fitters-669,1,PPF,2013-04-09,Historical,F7,0,1,Patterson,,,,,F7_OLMS,ef442eb166ce02d3
"Frank Lill and Son, Inc.",Victor,NY,14564,23,Private,SINGLE_EMPLOYER,9000,United Association of Journeymen & Apprentices of the Plumbing & Pipe Fitting Industry of the United States & Canada AFL-CIO ,1,,2025-11-18,Current,"F7, OSHA, SAM",2,1,Victor,,,,,F7_OLMS,9bdcb6f7467ea2c9
Otis Minnesota Services,Wellsville,NY,14895,23,Private,SINGLE_EMPLOYER,9000,United Association of Journeymen & Apprentices of the Plumbing & Pipe Fitting Industry of the United States & Canada AFL-CIO ,1,,2025-12-19,Current,"F7, Mergent",1,1,Wellsville,,,,,F7_OLMS,944e361af96e0333
Transit Companies (ATU Locals 1181-1061),NEW YORK,NY,10016,48,Private,SINGLE_EMPLOYER,9000,ATU-1181-1061,1,ATU,2011-12-21,Historical,F7,0,1,NEW YORK,,,,,F7_OLMS,c1eb666cd6da3971
Construction Companies of NY and NJ,New York,NY,10176-0423,23,Private,SINGLE_EMPLOYER,9000,IUOE-825,1,IUOE,2013-02-11,Historical,"F7, OSHA",1,1,New York,,,,,F7_OLMS,966d87aea221d8f2
