source,employer_name,city,state,zip,naics,workers_or_members,union_name,union_fnum,affiliation,sector,union_olms_sector,date,recognition_type,case_number,employer_id
F7_OLMS,2016-2019 Commercials and/or Audio Commercials Code/SAG-AFTRA,New York,NY,10023,71,165000,SAG-AFTRA Local N/A,,,Private,,1/23/2019,F7_FILING,,03436b8f4df760d1
F7_OLMS,"Joint Policy Commitee, LLC",New York ,NY,10020,71,165000,Screen Actors Guild-American Federation of Television & Radio Artists ,,,Private,,2/12/2025,F7_FILING,,5ddc6efbe1ee904b
F7_OLMS,AFTRA 2013 & 2010 Public TV Code & SAG 2002 Public TV Code,New York,NY,10012,71,165000,SAG-AFTRA NYC-N/A,,,Private,,9/11/2017,F7_FILING,,e488ea3379fe314f
F7_OLMS,Joint Policy Committee,New York,NY,10022-7512,71,160000,SAG and AFTRA-1,,,Private,,1/23/2013,F7_FILING,,233c49b88ad09495
F7_OLMS,Multiple Companies (List Available),New York,NY,10022,71,159999,Screen Actors Guild-American Federation of Television & Radio Artists ,,,Private,,2/15/2023,F7_FILING,,0f0eb32167860bd2
F7_OLMS,King Street Productions Inc.,New York,NY,10036,71,159999,Screen Actors Guild-American Federation of Television & Radio Artists ,,,Private,,8/18/2023,F7_FILING,,e0e1bc46029e63af
F7_OLMS,AFTRA National Code of Fair Practice for Commercial Radio Broadcasting,New York,NY,10019,71,70000,AFTRA-New York,,,Private,,9/20/2010,F7_FILING,,456082475e0460c0
F7_OLMS,League of Voluntary Hospitals and Homes of New York,New York,NY,10019,62,70000,SEIU / UHWE-1199,,,Private,,4/15/2014,F7_FILING,,bbd7e35a043a4bca
F7_OLMS,Nursing Homes & Rehabilitation Facilities NYC & Vic  (SEIU/UHWE Local 1199),New York,NY,10017,62,60001,SEIU/UHWE-1199,,,Private,,7/3/2017,F7_FILING,,fc11224ddad496c3
F7_OLMS,Verizon Companies,New York,NY,10001,51,35539,CWA-1,,,Private,,6/2/2011,F7_FILING,,19fb8e1a4f1ee6cf
F7_OLMS,Verizon Companies,Mineola,NY,11501,22,33632,CWA-,,,Private,,5/20/2011,F7_FILING,,1ad720f7c14e0f18
F7_OLMS,Federal Bureau of Prison,New York,NY,10007,92,32000,AFGE Council of Prison-3148,501872,AFGE,Public,FEDERAL,2/1/2011,F7_FILING,,bd9e8dddb9ecb587
F7_OLMS,Realty Advisory Board on Labor Relations Inc. (2010 Apartment Building Agt.),New York,NY,10011,53,30000,SEIU-32BJ,,,Private,,2/25/2014,F7_FILING,,095bf127ae7c8697
F7_OLMS,2006 RAB Apartment Building Agreement,New York,NY,10011,53,30000,SEIU-32BJ,,,Private,,2/16/2010,F7_FILING,,630969c8ec7b969d
F7_OLMS,2008 Commercial Building Agreement,New York,NY,10017,53,20000,SEIU-32BJ,,,Private,,10/12/2011,F7_FILING,,6b30e63ff3978e44
F7_OLMS,2008 RAB Commercial Building Agreement,New York,NY,10017,53,20000,SEIU-32BJ,,,Private,,11/3/2011,F7_FILING,,e66a12bd68f9c1da
F7_OLMS,Independent Contractors (Construction) New York ,New York,NY,10018,23,16000,IBEW-3,,,Private,,1/24/2013,F7_FILING,,4f4d8cdeedbb75ca
F7_OLMS,National Automatic Fire Sprinkler (NFSA) and Independent Contractors,Patterson,NY,12563-2164,54,11106,PPF-669,59937,PPF,Private,PRIVATE,3/18/2013,F7_FILING,,b0e7221a9b3cbb31
F7_OLMS,Drywall Tapers and Pointer of Greater NY  (PAT Local 1974),Brooklyn,NY,11208-5422,23,11000,PAT-1974,70469,PAT,Private,PRIVATE,4/10/2017,F7_FILING,,d16bc186a67daddc
F7_OLMS,Compass Group @ Multiple Locations NY/NJ,Rye Brook,NY,10573,72,10964,UNITE HERE 100,515249,UNITHE,Private,OTHER,11/21/2017,F7_FILING,,e83414417e341c21
F7_OLMS,"ABC, CBS and NBC,AMPTP Theatrical and Television 2011 Basic Agreement ",New York,NY,10013,71,10000,Writers Guild of America East Inc.-n/a,,,Private,,2/21/2014,F7_FILING,,a815b140f38f29d7
F7_OLMS,LORT,New York,NY,10036,81,9500,Actors Equity-,,,Private,,2/5/2013,F7_FILING,,0c56df842aca615f
F7_OLMS,"Frank Lill and Son, Inc.",Victor,NY,14564,23,9000,United Association of Journeymen & Apprentices of the Plumbing & Pipe Fitting Industry of the United States & Canada AFL-CIO ,,,Private,,11/18/2025,F7_FILING,,9bdcb6f7467ea2c9
F7_OLMS,Otis Minnesota Services,Wellsville,NY,14895,23,9000,United Association of Journeymen & Apprentices of the Plumbing & Pipe Fitting Industry of the United States & Canada AFL-CIO ,,,Private,,12/19/2025,F7_FILING,,944e361af96e0333
F7_OLMS,"LMC Industrial Contractors, Inc.",Dansville,NY,14437,23,9000,United Association of Journeymen & Apprentices of the Plumbing & Pipe Fitting Industry of the United States & Canada AFL-CIO ,,,Private,,12/2/2025,F7_FILING,,ee29006613f1ff44
F7_OLMS,Transit Companies (ATU Locals 1181-1061),NEW YORK,NY,10016,48,9000,ATU-1181-1061,29994,ATU,Private,PRIVATE,12/21/2011,F7_FILING,,c1eb666cd6da3971
F7_OLMS,Construction Companies of NY and NJ,New York,NY,10176-0423,23,9000,IUOE-825,12429,IUOE,Private,PRIVATE,2/11/2013,F7_FILING,,966d87aea221d8f2
F7_OLMS,National Automatic Fire Sprinkler (NFSA),Patterson,NY,12563-2164,56,9000,Road Sprinkler Fitters-669,59937,PPF,Private,PRIVATE,4/9/2013,F7_FILING,,ef442eb166ce02d3
F7_OLMS,"Local 804, IBT",queens,NY,11101,48,8500,International Brotherhood Of Teamsters 804,31841,IBT,Private,PRIVATE,1/12/2023,F7_FILING,,9dfff3561d2a5121
F7_OLMS,"Consolidated Edison Company of NY, Inc.",New York,NY,10003-3502,22,8234,Utility Workers Union-1-2,24877,UWU,Private,OTHER,3/14/2012,F7_FILING,,249f940034538ede
F7_OLMS,Verizon - New England,New York,NY,10001,54,8100,IBEW-Multi Sys Council  T-6 ,,,Private,,5/27/2011,F7_FILING,,98128d075661e9f7
F7_OLMS,"The Stop & Shop Supermarket Company, LLC  (Cle",Purchase,NY,10577,44,7820,United Food & Commercial Workers Union 328,,,Private,,12/13/2018,F7_FILING,,a4c72614cd8ffeef
