classification_dim,bucket,method,n_companies,avg_mae_race,avg_mae_gender,avg_mae_hispanic,avg_hellinger_race,win_count
naics_group,Accommodation/Food Svc (72),M1 Baseline (60/40),3,9.51,3.36,6.88,0.249,0
naics_group,Accommodation/Food Svc (72),M2 Three-Layer (50/30/20),3,8.89,3.41,7.08,0.2398,3
naics_group,Accommodation/Food Svc (72),M3 IPF,3,13.16,5.14,13.88,0.3722,0
naics_group,Accommodation/Food Svc (72),M4 Occ-Weighted,3,10.41,3.14,7.42,0.273,0
naics_group,Accommodation/Food Svc (72),M5 Variable-Weight,3,9.51,3.36,6.88,0.249,0
naics_group,Accommodation/Food Svc (72),M6 IPF+Occ,3,13.16,5.14,13.88,0.3722,0
naics_group,Admin/Staffing (56),M1 Baseline (60/40),6,7.43,22.13,15.52,0.2302,1
naics_group,Admin/Staffing (56),M2 Three-Layer (50/30/20),6,7.83,23.41,15.71,0.2433,0
naics_group,Admin/Staffing (56),M3 IPF,6,8.31,20.96,19.37,0.2694,3
naics_group,Admin/Staffing (56),M4 Occ-Weighted,6,7.32,21.24,15.46,0.2307,2
naics_group,Admin/Staffing (56),M5 Variable-Weight,6,7.43,22.13,15.52,0.2302,0
naics_group,Admin/Staffing (56),M6 IPF+Occ,6,8.31,20.96,19.37,0.2694,0
naics_group,"Agriculture/Mining (11,21)",M1 Baseline (60/40),3,4.29,15.3,10.59,0.1755,0
naics_group,"Agriculture/Mining (11,21)",M2 Three-Layer (50/30/20),3,4.84,18.98,11.39,0.2039,1
naics_group,"Agriculture/Mining (11,21)",M3 IPF,3,6.82,2.3,6.92,0.2998,0
naics_group,"Agriculture/Mining (11,21)",M4 Occ-Weighted,3,4.38,11.76,10.15,0.1782,2
naics_group,"Agriculture/Mining (11,21)",M5 Variable-Weight,3,4.29,15.3,10.59,0.1755,0
naics_group,"Agriculture/Mining (11,21)",M6 IPF+Occ,3,6.82,2.3,6.92,0.2998,0
naics_group,Chemical/Material Mfg (325-327),M1 Baseline (60/40),5,3.76,6.61,5.51,0.1811,0
naics_group,Chemical/Material Mfg (325-327),M2 Three-Layer (50/30/20),5,3.91,6.81,5.75,0.1846,0
naics_group,Chemical/Material Mfg (325-327),M3 IPF,5,4.83,8.69,8.47,0.2321,1
naics_group,Chemical/Material Mfg (325-327),M4 Occ-Weighted,5,3.85,6.56,5.49,0.189,1
naics_group,Chemical/Material Mfg (325-327),M5 Variable-Weight,5,3.72,6.63,5.52,0.1775,3
naics_group,Chemical/Material Mfg (325-327),M6 IPF+Occ,5,4.83,8.69,8.47,0.2321,0
naics_group,Computer/Electrical Mfg (334-335),M1 Baseline (60/40),3,7.26,8.77,19.0,0.2794,0
naics_group,Computer/Electrical Mfg (334-335),M2 Three-Layer (50/30/20),3,7.53,10.87,20.54,0.2887,1
naics_group,Computer/Electrical Mfg (334-335),M3 IPF,3,8.79,5.03,12.31,0.3015,0
naics_group,Computer/Electrical Mfg (334-335),M4 Occ-Weighted,3,7.68,7.1,18.14,0.2901,0
naics_group,Computer/Electrical Mfg (334-335),M5 Variable-Weight,3,7.05,9.6,19.43,0.2744,2
naics_group,Computer/Electrical Mfg (334-335),M6 IPF+Occ,3,8.79,5.03,12.31,0.3015,0
naics_group,Construction (23),M1 Baseline (60/40),11,5.26,11.24,8.58,0.2015,0
naics_group,Construction (23),M2 Three-Layer (50/30/20),11,5.62,13.37,8.65,0.2082,1
naics_group,Construction (23),M3 IPF,11,4.89,9.04,11.71,0.1996,5
naics_group,Construction (23),M4 Occ-Weighted,11,4.81,9.39,8.56,0.1929,3
naics_group,Construction (23),M5 Variable-Weight,11,6.2,17.29,8.7,0.2219,2
naics_group,Construction (23),M6 IPF+Occ,11,4.89,9.04,11.71,0.1996,0
naics_group,Finance/Insurance (52),M1 Baseline (60/40),48,7.62,10.59,7.47,0.232,6
naics_group,Finance/Insurance (52),M2 Three-Layer (50/30/20),48,7.39,11.66,7.28,0.2307,23
naics_group,Finance/Insurance (52),M3 IPF,48,9.27,8.71,7.1,0.2826,18
naics_group,Finance/Insurance (52),M4 Occ-Weighted,48,7.97,9.51,7.59,0.2445,0
naics_group,Finance/Insurance (52),M5 Variable-Weight,48,8.15,9.11,7.67,0.251,1
naics_group,Finance/Insurance (52),M6 IPF+Occ,48,9.27,8.71,7.1,0.2826,0
naics_group,"Food/Bev Manufacturing (311,312)",M1 Baseline (60/40),5,3.82,17.42,7.72,0.1488,1
