classification_dim,bucket,method,n_companies,avg_mae_race,avg_mae_gender,avg_mae_hispanic,avg_hellinger_race,win_count
naics_group,Accommodation/Food Svc (72),M1 Baseline (60/40),8,7.97,5.68,9.28,0.2162,0
naics_group,Accommodation/Food Svc (72),M2 Three-Layer (50/30/20),8,7.94,5.58,9.43,0.2133,0
naics_group,Accommodation/Food Svc (72),M3 IPF,8,13.16,6.87,17.5,0.3683,0
naics_group,Accommodation/Food Svc (72),M4 Occ-Weighted,8,8.13,6.37,9.43,0.2257,0
naics_group,Accommodation/Food Svc (72),M5 Variable-Weight,8,7.97,5.68,9.28,0.2162,0
naics_group,Accommodation/Food Svc (72),M1b Learned-Wt,8,7.28,5.72,10.24,0.1844,2
naics_group,Accommodation/Food Svc (72),M3b Damp-IPF,8,8.33,6.87,17.5,0.2371,0
naics_group,Accommodation/Food Svc (72),M1c CV-Learned-Wt,8,7.31,5.66,10.02,0.1881,0
naics_group,Accommodation/Food Svc (72),M1d Regional-Wt,8,8.22,5.74,9.24,0.2225,0
naics_group,Accommodation/Food Svc (72),M2c ZIP-Tract,8,7.5,6.2,9.45,0.2001,0
naics_group,Accommodation/Food Svc (72),M3c Var-Damp-IPF,8,8.15,6.87,17.5,0.2226,0
naics_group,Accommodation/Food Svc (72),M3d Select-Damp,8,8.33,6.87,17.5,0.2371,0
naics_group,Accommodation/Food Svc (72),M4c Top10-Occ,8,7.94,7.54,9.18,0.2252,0
naics_group,Accommodation/Food Svc (72),M4d State-Top5,8,7.79,8.76,8.8,0.2246,0
naics_group,Accommodation/Food Svc (72),M5c CV-Var-Wt,8,7.31,5.66,10.02,0.1881,0
naics_group,Accommodation/Food Svc (72),M5d Corr-Min-Adapt,8,7.34,5.54,9.46,0.1979,0
naics_group,Accommodation/Food Svc (72),M3e Fin-Route-IPF,8,8.15,6.87,17.5,0.2226,0
naics_group,Accommodation/Food Svc (72),M3f Min-Ind-Thresh,8,8.33,6.87,17.5,0.2371,0
naics_group,Accommodation/Food Svc (72),M1e Hi-Min-Floor,8,7.31,5.66,10.02,0.1881,0
naics_group,Accommodation/Food Svc (72),M4e Var-Occ-Trim,8,7.73,10.8,7.91,0.2199,4
naics_group,Accommodation/Food Svc (72),M2d Amp-Tract,8,7.32,6.67,9.75,0.1939,2
naics_group,Accommodation/Food Svc (72),M5e Ind-Dispatch,8,8.15,6.87,17.5,0.2226,0
naics_group,Accommodation/Food Svc (72),M8 Adaptive-Router,8,7.81,6.87,9.45,0.2066,0
naics_group,Admin/Staffing (56),M1 Baseline (60/40),29,5.72,17.74,13.41,0.1756,2
naics_group,Admin/Staffing (56),M2 Three-Layer (50/30/20),29,5.99,18.66,13.78,0.1849,1
naics_group,Admin/Staffing (56),M3 IPF,29,8.38,16.4,17.54,0.2657,5
naics_group,Admin/Staffing (56),M4 Occ-Weighted,29,6.12,18.85,15.44,0.1905,1
naics_group,Admin/Staffing (56),M5 Variable-Weight,29,5.72,17.74,13.41,0.1756,0
naics_group,Admin/Staffing (56),M1b Learned-Wt,29,6.14,16.38,12.92,0.1967,7
naics_group,Admin/Staffing (56),M3b Damp-IPF,29,5.82,16.4,17.54,0.1792,0
naics_group,Admin/Staffing (56),M1c CV-Learned-Wt,29,5.85,20.03,14.32,0.1715,3
naics_group,Admin/Staffing (56),M1d Regional-Wt,29,5.77,17.79,13.41,0.1782,0
naics_group,Admin/Staffing (56),M2c ZIP-Tract,29,5.75,18.72,13.76,0.173,0
naics_group,Admin/Staffing (56),M3c Var-Damp-IPF,29,5.96,16.4,17.54,0.1787,3
naics_group,Admin/Staffing (56),M3d Select-Damp,29,6.79,16.4,17.54,0.2123,0
naics_group,Admin/Staffing (56),M4c Top10-Occ,29,6.13,17.74,15.67,0.1901,0
naics_group,Admin/Staffing (56),M4d State-Top5,29,6.13,17.71,15.62,0.1918,2
naics_group,Admin/Staffing (56),M5c CV-Var-Wt,29,5.85,20.03,14.32,0.1715,0
