classification_dim,bucket,method,n_companies,avg_mae_race,avg_mae_gender,avg_mae_hispanic,avg_hellinger_race,win_count
naics_group,Accommodation/Food Svc (72),M1 Baseline (60/40),3,9.51,3.36,6.88,0.249,0
naics_group,Accommodation/Food Svc (72),M2 Three-Layer (50/30/20),3,8.89,3.41,7.08,0.2398,0
naics_group,Accommodation/Food Svc (72),M3 IPF,3,13.16,5.14,13.88,0.3722,0
naics_group,Accommodation/Food Svc (72),M4 Occ-Weighted,3,10.41,3.14,7.42,0.273,0
naics_group,Accommodation/Food Svc (72),M5 Variable-Weight,3,9.51,3.36,6.88,0.249,0
naics_group,Accommodation/Food Svc (72),M1b Learned-Wt,3,7.46,4.01,8.96,0.1913,3
naics_group,Accommodation/Food Svc (72),M2b Workplace-Tract,3,8.89,3.41,7.08,0.2398,0
naics_group,Accommodation/Food Svc (72),M3b Damp-IPF,3,9.47,5.14,13.88,0.2658,0
naics_group,Accommodation/Food Svc (72),M4b State-Occ,3,9.83,2.23,7.56,0.2613,0
naics_group,Accommodation/Food Svc (72),M5b Min-Adapt,3,10.86,3.24,7.35,0.2846,0
naics_group,Accommodation/Food Svc (72),M7 Hybrid,3,7.46,5.14,8.96,0.1913,0
naics_group,Admin/Staffing (56),M1 Baseline (60/40),6,7.43,22.13,15.52,0.2302,0
naics_group,Admin/Staffing (56),M2 Three-Layer (50/30/20),6,7.83,23.41,15.71,0.2433,0
naics_group,Admin/Staffing (56),M3 IPF,6,8.31,20.96,19.37,0.2694,3
naics_group,Admin/Staffing (56),M4 Occ-Weighted,6,7.32,21.24,15.46,0.2307,0
naics_group,Admin/Staffing (56),M5 Variable-Weight,6,7.43,22.13,15.52,0.2302,0
naics_group,Admin/Staffing (56),M1b Learned-Wt,6,7.11,20.72,15.34,0.2377,2
naics_group,Admin/Staffing (56),M2b Workplace-Tract,6,7.83,23.41,15.71,0.2433,0
naics_group,Admin/Staffing (56),M3b Damp-IPF,6,7.53,20.96,19.37,0.235,0
naics_group,Admin/Staffing (56),M4b State-Occ,6,7.03,19.35,16.94,0.2267,1
naics_group,Admin/Staffing (56),M5b Min-Adapt,6,7.43,22.13,15.52,0.2302,0
naics_group,Admin/Staffing (56),M7 Hybrid,6,7.11,20.96,15.34,0.2377,0
naics_group,"Agriculture/Mining (11,21)",M1 Baseline (60/40),3,4.29,15.3,10.59,0.1755,0
naics_group,"Agriculture/Mining (11,21)",M2 Three-Layer (50/30/20),3,4.84,18.98,11.39,0.2039,1
naics_group,"Agriculture/Mining (11,21)",M3 IPF,3,6.82,2.3,6.92,0.2998,0
naics_group,"Agriculture/Mining (11,21)",M4 Occ-Weighted,3,4.38,11.76,10.15,0.1782,1
naics_group,"Agriculture/Mining (11,21)",M5 Variable-Weight,3,4.29,15.3,10.59,0.1755,0
naics_group,"Agriculture/Mining (11,21)",M1b Learned-Wt,3,4.22,13.54,10.37,0.1754,1
naics_group,"Agriculture/Mining (11,21)",M2b Workplace-Tract,3,4.84,18.98,11.39,0.2039,0
naics_group,"Agriculture/Mining (11,21)",M3b Damp-IPF,3,5.19,2.3,6.92,0.2376,0
naics_group,"Agriculture/Mining (11,21)",M4b State-Occ,3,5.26,16.02,12.18,0.225,0
naics_group,"Agriculture/Mining (11,21)",M5b Min-Adapt,3,4.29,15.3,10.59,0.1755,0
naics_group,"Agriculture/Mining (11,21)",M7 Hybrid,3,4.22,2.3,10.37,0.1754,0
naics_group,Chemical/Material Mfg (325-327),M1 Baseline (60/40),5,3.76,6.61,5.51,0.1811,0
naics_group,Chemical/Material Mfg (325-327),M2 Three-Layer (50/30/20),5,3.91,6.81,5.75,0.1846,0
naics_group,Chemical/Material Mfg (325-327),M3 IPF,5,4.83,8.69,8.47,0.2321,1
naics_group,Chemical/Material Mfg (325-327),M4 Occ-Weighted,5,3.85,6.56,5.49,0.189,0
naics_group,Chemical/Material Mfg (325-327),M5 Variable-Weight,5,3.72,6.63,5.52,0.1775,0
naics_group,Chemical/Material Mfg (325-327),M1b Learned-Wt,5,3.51,6.94,5.67,0.1608,2
naics_group,Chemical/Material Mfg (325-327),M2b Workplace-Tract,5,3.91,6.81,5.75,0.1846,0
naics_group,Chemical/Material Mfg (325-327),M3b Damp-IPF,5,3.6,8.69,8.47,0.1699,1
naics_group,Chemical/Material Mfg (325-327),M4b State-Occ,5,3.41,8.83,6.02,0.1848,1
naics_group,Chemical/Material Mfg (325-327),M5b Min-Adapt,5,3.72,6.63,5.52,0.1775,0
naics_group,Chemical/Material Mfg (325-327),M7 Hybrid,5,3.51,8.69,5.67,0.1608,0
naics_group,Computer/Electrical Mfg (334-335),M1 Baseline (60/40),3,7.26,8.77,19.0,0.2794,0
naics_group,Computer/Electrical Mfg (334-335),M2 Three-Layer (50/30/20),3,7.53,10.87,20.54,0.2887,1
naics_group,Computer/Electrical Mfg (334-335),M3 IPF,3,8.79,5.03,12.31,0.3015,0
naics_group,Computer/Electrical Mfg (334-335),M4 Occ-Weighted,3,7.68,7.1,18.14,0.2901,0
naics_group,Computer/Electrical Mfg (334-335),M5 Variable-Weight,3,7.05,9.6,19.43,0.2744,0
naics_group,Computer/Electrical Mfg (334-335),M1b Learned-Wt,3,6.05,13.78,21.57,0.2551,1
