company,company_code,method,dimension,mae,rmse,hellinger,max_error,max_error_cat,naics_group,size_bucket,region,minority_share,urbanicity,signed_AIAN,signed_Asian,signed_Black,signed_Female,signed_Hispanic,signed_Male,signed_NHOPI,signed_Not Hispanic,signed_Two+,signed_White
HILTON HOTELS CORPORATION,551877,M1 Baseline (60/40),race,6.49,8.463,0.1981,14.68,Asian,Accommodation/Food Svc (72),10000+,South,High (>50%),Urban,-0.21,-14.68,-2.79,,,,-1.8,,7.15,12.33
HILTON HOTELS CORPORATION,551877,M1 Baseline (60/40),gender,2.97,2.97,0.0211,2.97,Male,Accommodation/Food Svc (72),10000+,South,High (>50%),Urban,,,,2.97,,-2.97,,,,
HILTON HOTELS CORPORATION,551877,M1 Baseline (60/40),hispanic,15.7,15.7,0.1305,15.7,Not Hispanic,Accommodation/Food Svc (72),10000+,South,High (>50%),Urban,,,,,-15.7,,,15.7,,
HILTON HOTELS CORPORATION,551877,M2 Three-Layer (50/30/20),race,6.72,8.163,0.1874,12.36,Asian,Accommodation/Food Svc (72),10000+,South,High (>50%),Urban,-0.2,-12.36,-5.79,,,,-1.8,,8.21,11.95
HILTON HOTELS CORPORATION,551877,M2 Three-Layer (50/30/20),gender,2.22,2.22,0.0157,2.22,Male,Accommodation/Food Svc (72),10000+,South,High (>50%),Urban,,,,2.22,,-2.22,,,,
HILTON HOTELS CORPORATION,551877,M2 Three-Layer (50/30/20),hispanic,15.59,15.59,0.1295,15.59,Not Hispanic,Accommodation/Food Svc (72),10000+,South,High (>50%),Urban,,,,,-15.59,,,15.59,,
HILTON HOTELS CORPORATION,551877,M3 IPF,race,13.62,19.741,0.3744,40.87,White,Accommodation/Food Svc (72),10000+,South,High (>50%),Urban,-0.49,-21.31,-14.17,,,,-1.86,,-3.04,40.87
HILTON HOTELS CORPORATION,551877,M3 IPF,gender,5.7,5.7,0.0405,5.7,Male,Accommodation/Food Svc (72),10000+,South,High (>50%),Urban,,,,5.7,,-5.7,,,,
HILTON HOTELS CORPORATION,551877,M3 IPF,hispanic,28.94,28.94,0.295,28.94,Not Hispanic,Accommodation/Food Svc (72),10000+,South,High (>50%),Urban,,,,,-28.94,,,28.94,,
HILTON HOTELS CORPORATION,551877,M4 Occ-Weighted,race,6.49,8.741,0.2191,16.17,Asian,Accommodation/Food Svc (72),10000+,South,High (>50%),Urban,-0.25,-16.17,-1.24,,,,-1.82,,8.61,10.86
HILTON HOTELS CORPORATION,551877,M4 Occ-Weighted,gender,4.05,4.05,0.0287,4.05,Male,Accommodation/Food Svc (72),10000+,South,High (>50%),Urban,,,,4.05,,-4.05,,,,
HILTON HOTELS CORPORATION,551877,M4 Occ-Weighted,hispanic,15.07,15.07,0.1246,15.07,Not Hispanic,Accommodation/Food Svc (72),10000+,South,High (>50%),Urban,,,,,-15.07,,,15.07,,
HILTON HOTELS CORPORATION,551877,M5 Variable-Weight,race,6.49,8.463,0.1981,14.68,Asian,Accommodation/Food Svc (72),10000+,South,High (>50%),Urban,-0.21,-14.68,-2.79,,,,-1.8,,7.15,12.33
HILTON HOTELS CORPORATION,551877,M5 Variable-Weight,gender,2.97,2.97,0.0211,2.97,Male,Accommodation/Food Svc (72),10000+,South,High (>50%),Urban,,,,2.97,,-2.97,,,,
HILTON HOTELS CORPORATION,551877,M5 Variable-Weight,hispanic,15.7,15.7,0.1305,15.7,Not Hispanic,Accommodation/Food Svc (72),10000+,South,High (>50%),Urban,,,,,-15.7,,,15.7,,
HILTON HOTELS CORPORATION,551877,M1b Learned-Wt,race,6.5,8.663,0.1579,16.72,White,Accommodation/Food Svc (72),10000+,South,High (>50%),Urban,-0.1,-10.23,-7.43,,,,-1.76,,2.78,16.72
HILTON HOTELS CORPORATION,551877,M1b Learned-Wt,gender,0.26,0.26,0.0018,0.26,Male,Accommodation/Food Svc (72),10000+,South,High (>50%),Urban,,,,-0.26,,0.26,,,,
HILTON HOTELS CORPORATION,551877,M1b Learned-Wt,hispanic,17.59,17.59,0.1488,17.59,Not Hispanic,Accommodation/Food Svc (72),10000+,South,High (>50%),Urban,,,,,-17.59,,,17.59,,
HILTON HOTELS CORPORATION,551877,M3b Damp-IPF,race,7.41,10.582,0.2267,18.97,White,Accommodation/Food Svc (72),10000+,South,High (>50%),Urban,-0.22,-16.97,-3.16,,,,-1.86,,3.25,18.97
HILTON HOTELS CORPORATION,551877,M3b Damp-IPF,gender,5.7,5.7,0.0405,5.7,Male,Accommodation/Food Svc (72),10000+,South,High (>50%),Urban,,,,5.7,,-5.7,,,,
HILTON HOTELS CORPORATION,551877,M3b Damp-IPF,hispanic,28.94,28.94,0.295,28.94,Not Hispanic,Accommodation/Food Svc (72),10000+,South,High (>50%),Urban,,,,,-28.94,,,28.94,,
HILTON HOTELS CORPORATION,551877,M1c CV-Learned-Wt,race,6.5,8.523,0.1617,15.99,White,Accommodation/Food Svc (72),10000+,South,High (>50%),Urban,-0.12,-10.97,-6.66,,,,-1.76,,3.51,15.99
HILTON HOTELS CORPORATION,551877,M1c CV-Learned-Wt,gender,0.28,0.28,0.002,0.28,Male,Accommodation/Food Svc (72),10000+,South,High (>50%),Urban,,,,0.28,,-0.28,,,,
HILTON HOTELS CORPORATION,551877,M1c CV-Learned-Wt,hispanic,17.27,17.27,0.1457,17.27,Not Hispanic,Accommodation/Food Svc (72),10000+,South,High (>50%),Urban,,,,,-17.27,,,17.27,,
HILTON HOTELS CORPORATION,551877,M1d Regional-Wt,race,6.49,8.463,0.1981,14.68,Asian,Accommodation/Food Svc (72),10000+,South,High (>50%),Urban,-0.21,-14.68,-2.79,,,,-1.8,,7.15,12.33
HILTON HOTELS CORPORATION,551877,M1d Regional-Wt,gender,2.97,2.97,0.0211,2.97,Male,Accommodation/Food Svc (72),10000+,South,High (>50%),Urban,,,,2.97,,-2.97,,,,
HILTON HOTELS CORPORATION,551877,M1d Regional-Wt,hispanic,15.7,15.7,0.1305,15.7,Not Hispanic,Accommodation/Food Svc (72),10000+,South,High (>50%),Urban,,,,,-15.7,,,15.7,,
HILTON HOTELS CORPORATION,551877,M2c ZIP-Tract,race,6.75,8.771,0.1884,14.62,White,Accommodation/Food Svc (72),10000+,South,High (>50%),Urban,-0.16,-13.9,-4.41,,,,-1.79,,5.65,14.62
HILTON HOTELS CORPORATION,551877,M2c ZIP-Tract,gender,5.87,5.87,0.0417,5.87,Male,Accommodation/Food Svc (72),10000+,South,High (>50%),Urban,,,,5.87,,-5.87,,,,
HILTON HOTELS CORPORATION,551877,M2c ZIP-Tract,hispanic,16.36,16.36,0.1368,16.36,Hispanic,Accommodation/Food Svc (72),10000+,South,High (>50%),Urban,,,,,-16.36,,,16.36,,
HILTON HOTELS CORPORATION,551877,M3c Var-Damp-IPF,race,7.48,10.783,0.2052,21.05,White,Accommodation/Food Svc (72),10000+,South,High (>50%),Urban,-0.15,-14.72,-5.7,,,,-1.86,,1.38,21.05
HILTON HOTELS CORPORATION,551877,M3c Var-Damp-IPF,gender,5.7,5.7,0.0405,5.7,Male,Accommodation/Food Svc (72),10000+,South,High (>50%),Urban,,,,5.7,,-5.7,,,,
HILTON HOTELS CORPORATION,551877,M3c Var-Damp-IPF,hispanic,28.94,28.94,0.295,28.94,Not Hispanic,Accommodation/Food Svc (72),10000+,South,High (>50%),Urban,,,,,-28.94,,,28.94,,
HILTON HOTELS CORPORATION,551877,M3d Select-Damp,race,7.41,10.582,0.2267,18.97,White,Accommodation/Food Svc (72),10000+,South,High (>50%),Urban,-0.22,-16.97,-3.16,,,,-1.86,,3.25,18.97
HILTON HOTELS CORPORATION,551877,M3d Select-Damp,gender,5.7,5.7,0.0405,5.7,Male,Accommodation/Food Svc (72),10000+,South,High (>50%),Urban,,,,5.7,,-5.7,,,,
HILTON HOTELS CORPORATION,551877,M3d Select-Damp,hispanic,28.94,28.94,0.295,28.94,Not Hispanic,Accommodation/Food Svc (72),10000+,South,High (>50%),Urban,,,,,-28.94,,,28.94,,
HILTON HOTELS CORPORATION,551877,M4c Top10-Occ,race,6.49,8.741,0.2191,16.17,Asian,Accommodation/Food Svc (72),10000+,South,High (>50%),Urban,-0.25,-16.17,-1.24,,,,-1.82,,8.61,10.86
