classification_dim,bucket,method,n_companies,avg_mae_race,avg_mae_gender,avg_mae_hispanic,avg_hellinger_race,win_count
naics_group,Accommodation/Food Svc (72),M1 Baseline (60/40),2,7.39,5.69,10.81,0.192,1
naics_group,Accommodation/Food Svc (72),M2 Three-Layer (50/30/20),2,7.7,5.75,10.6,0.1899,0
naics_group,Accommodation/Food Svc (72),M3 IPF,2,15.55,4.92,24.12,0.4007,0
naics_group,Accommodation/Food Svc (72),M4 Occ-Weighted,2,7.12,5.82,10.25,0.1952,1
naics_group,Accommodation/Food Svc (72),M5 Variable-Weight,2,7.39,5.69,10.81,0.192,0
naics_group,Accommodation/Food Svc (72),M1b Learned-Wt,2,8.63,5.54,12.53,0.2022,0
naics_group,Accommodation/Food Svc (72),M3b Damp-IPF,2,8.88,4.92,24.12,0.2326,0
naics_group,Accommodation/Food Svc (72),M1c CV-Learned-Wt,2,8.39,5.35,12.24,0.1983,0
naics_group,Accommodation/Food Svc (72),M1d Regional-Wt,2,7.39,5.69,10.81,0.192,0
naics_group,Accommodation/Food Svc (72),M2c ZIP-Tract,2,7.92,7.99,11.5,0.1981,0
naics_group,Accommodation/Food Svc (72),M3c Var-Damp-IPF,2,9.3,4.92,24.12,0.2346,0
naics_group,Accommodation/Food Svc (72),M3d Select-Damp,2,8.88,4.92,24.12,0.2326,0
naics_group,Accommodation/Food Svc (72),M4c Top10-Occ,2,7.12,5.82,10.25,0.1952,0
naics_group,Accommodation/Food Svc (72),M4d State-Top5,2,7.12,5.82,10.25,0.1952,0
naics_group,Accommodation/Food Svc (72),M5c CV-Var-Wt,2,8.39,5.35,12.24,0.1983,0
naics_group,Accommodation/Food Svc (72),M5d Corr-Min-Adapt,2,7.67,5.55,11.38,0.1925,0
naics_group,Admin/Staffing (56),M1 Baseline (60/40),12,5.87,18.59,13.52,0.1769,0
naics_group,Admin/Staffing (56),M2 Three-Layer (50/30/20),12,6.21,19.45,14.0,0.1871,0
naics_group,Admin/Staffing (56),M3 IPF,12,8.77,17.48,17.6,0.2711,2
naics_group,Admin/Staffing (56),M4 Occ-Weighted,12,5.91,18.13,13.33,0.1829,1
naics_group,Admin/Staffing (56),M5 Variable-Weight,12,5.87,18.59,13.52,0.1769,0
naics_group,Admin/Staffing (56),M1b Learned-Wt,12,6.22,17.45,12.98,0.2012,3
naics_group,Admin/Staffing (56),M3b Damp-IPF,12,5.93,17.48,17.6,0.1786,0
naics_group,Admin/Staffing (56),M1c CV-Learned-Wt,12,5.9,20.48,13.98,0.1693,1
naics_group,Admin/Staffing (56),M1d Regional-Wt,12,5.89,18.85,13.4,0.1792,0
naics_group,Admin/Staffing (56),M2c ZIP-Tract,12,5.79,19.38,13.79,0.1718,2
naics_group,Admin/Staffing (56),M3c Var-Damp-IPF,12,5.95,17.48,17.6,0.1749,3
naics_group,Admin/Staffing (56),M3d Select-Damp,12,6.45,17.48,17.6,0.1956,0
naics_group,Admin/Staffing (56),M4c Top10-Occ,12,5.91,18.13,13.33,0.1829,0
naics_group,Admin/Staffing (56),M4d State-Top5,12,5.91,18.13,13.33,0.1829,0
naics_group,Admin/Staffing (56),M5c CV-Var-Wt,12,5.9,20.48,13.98,0.1693,0
naics_group,Admin/Staffing (56),M5d Corr-Min-Adapt,12,5.79,18.73,13.53,0.1743,0
naics_group,Chemical/Material Mfg (325-327),M1 Baseline (60/40),10,6.93,11.71,7.02,0.2045,0
naics_group,Chemical/Material Mfg (325-327),M2 Three-Layer (50/30/20),10,7.21,12.15,7.55,0.2143,0
naics_group,Chemical/Material Mfg (325-327),M3 IPF,10,9.45,10.56,11.24,0.2848,0
naics_group,Chemical/Material Mfg (325-327),M4 Occ-Weighted,10,7.17,11.26,6.73,0.2146,2
naics_group,Chemical/Material Mfg (325-327),M5 Variable-Weight,10,6.81,11.94,7.16,0.1998,0
naics_group,Chemical/Material Mfg (325-327),M1b Learned-Wt,10,6.44,13.8,7.89,0.1796,0
