company,method,dimension,mae,rmse,hellinger,max_error,max_error_cat,signed_AIAN,signed_Asian,signed_Black,signed_Female,signed_Hispanic,signed_Male,signed_NHOPI,signed_Not Hispanic,signed_Two+,signed_White
CARE INITIATIVES,M1 Baseline (60/40),race,1.31,1.732,0.1053,3.54,Two+,-0.07,0.41,-1.58,,,,-0.82,,3.54,-1.46
CARE INITIATIVES,M1 Baseline (60/40),gender,17.04,17.04,0.1583,17.04,Female,,,,-17.04,,17.04,,,,
CARE INITIATIVES,M1 Baseline (60/40),hispanic,1.37,1.37,0.0222,1.37,Not Hispanic,,,,,1.37,,,-1.37,,
CARE INITIATIVES,M2 Three-Layer (50/30/20),race,1.77,2.299,0.1184,4.33,Two+,-0.1,0.98,-1.26,,,,-0.82,,4.33,-3.12
CARE INITIATIVES,M2 Three-Layer (50/30/20),gender,20.77,20.77,0.1872,20.77,Male,,,,-20.77,,20.77,,,,
CARE INITIATIVES,M2 Three-Layer (50/30/20),hispanic,1.99,1.99,0.0315,1.99,Hispanic,,,,,1.99,,,-1.99,,
CARE INITIATIVES,M3 IPF,race,3.33,5.0,0.188,9.98,White,-0.42,-1.26,-6.9,,,,-0.85,,-0.55,9.98
CARE INITIATIVES,M3 IPF,gender,1.69,1.69,0.0191,1.69,Male,,,,-1.69,,1.69,,,,
CARE INITIATIVES,M3 IPF,hispanic,3.95,3.95,0.1045,3.95,Not Hispanic,,,,,-3.95,,,3.95,,
CARE INITIATIVES,M4 Occ-Weighted,race,1.33,1.881,0.1117,3.97,Two+,-0.07,0.03,-1.55,,,,-0.83,,3.97,-1.54
CARE INITIATIVES,M4 Occ-Weighted,gender,13.15,13.15,0.1268,13.15,Female,,,,-13.15,,13.15,,,,
CARE INITIATIVES,M4 Occ-Weighted,hispanic,1.25,1.25,0.0204,1.25,Hispanic,,,,,1.25,,,-1.25,,
CARE INITIATIVES,M5 Variable-Weight,race,1.39,1.959,0.1147,4.18,Two+,-0.07,-0.16,-1.53,,,,-0.83,,4.18,-1.58
CARE INITIATIVES,M5 Variable-Weight,gender,11.2,11.2,0.1103,11.2,Female,,,,-11.2,,11.2,,,,
CARE INITIATIVES,M5 Variable-Weight,hispanic,1.19,1.195,0.0196,1.2,Hispanic,,,,,1.2,,,-1.19,,
CARE INITIATIVES,M6 IPF+Occ,race,3.33,5.0,0.188,9.98,White,-0.42,-1.26,-6.9,,,,-0.85,,-0.55,9.98
CARE INITIATIVES,M6 IPF+Occ,gender,1.69,1.69,0.0191,1.69,Male,,,,-1.69,,1.69,,,,
CARE INITIATIVES,M6 IPF+Occ,hispanic,3.95,3.95,0.1045,3.95,Not Hispanic,,,,,-3.95,,,3.95,,
UNITED LAUNCH ALLIANCE,M1 Baseline (60/40),race,1.54,2.467,0.0954,4.64,Two+,-0.54,-0.12,-0.03,,,,-0.1,,4.64,-3.83
UNITED LAUNCH ALLIANCE,M1 Baseline (60/40),gender,11.49,11.49,0.0915,11.49,Male,,,,11.49,,-11.49,,,,
UNITED LAUNCH ALLIANCE,M1 Baseline (60/40),hispanic,4.0,4.0,0.0449,4.0,Hispanic,,,,,4.0,,,-4.0,,
UNITED LAUNCH ALLIANCE,M2 Three-Layer (50/30/20),race,2.9,4.42,0.13,8.13,White,-0.49,0.44,1.25,,,,-0.07,,7.01,-8.13
UNITED LAUNCH ALLIANCE,M2 Three-Layer (50/30/20),gender,14.32,14.32,0.1125,14.32,Male,,,,14.32,,-14.32,,,,
UNITED LAUNCH ALLIANCE,M2 Three-Layer (50/30/20),hispanic,5.26,5.26,0.0578,5.26,Hispanic,,,,,5.26,,,-5.26,,
UNITED LAUNCH ALLIANCE,M3 IPF,race,3.04,4.266,0.1788,9.12,White,-1.08,-2.95,-3.88,,,,-0.17,,-1.03,9.12
UNITED LAUNCH ALLIANCE,M3 IPF,gender,0.22,0.22,0.0019,0.22,Female,,,,0.22,,-0.22,,,,
UNITED LAUNCH ALLIANCE,M3 IPF,hispanic,6.85,6.85,0.1083,6.85,Not Hispanic,,,,,-6.85,,,6.85,,
UNITED LAUNCH ALLIANCE,M4 Occ-Weighted,race,1.73,2.562,0.1048,5.19,Two+,-0.61,-0.53,-0.53,,,,-0.12,,5.19,-3.39
UNITED LAUNCH ALLIANCE,M4 Occ-Weighted,gender,8.78,8.78,0.0709,8.78,Male,,,,8.78,,-8.78,,,,
UNITED LAUNCH ALLIANCE,M4 Occ-Weighted,hispanic,3.35,3.35,0.0381,3.35,Hispanic,,,,,3.35,,,-3.35,,
UNITED LAUNCH ALLIANCE,M5 Variable-Weight,race,1.55,2.443,0.0914,4.37,Two+,-0.51,0.08,0.21,,,,-0.09,,4.37,-4.05
UNITED LAUNCH ALLIANCE,M5 Variable-Weight,gender,12.84,12.84,0.1016,12.84,Male,,,,12.84,,-12.84,,,,
UNITED LAUNCH ALLIANCE,M5 Variable-Weight,hispanic,4.33,4.33,0.0483,4.33,Hispanic,,,,,4.33,,,-4.33,,
UNITED LAUNCH ALLIANCE,M6 IPF+Occ,race,3.04,4.266,0.1788,9.12,White,-1.08,-2.95,-3.88,,,,-0.17,,-1.03,9.12
UNITED LAUNCH ALLIANCE,M6 IPF+Occ,gender,0.22,0.22,0.0019,0.22,Female,,,,0.22,,-0.22,,,,
UNITED LAUNCH ALLIANCE,M6 IPF+Occ,hispanic,6.85,6.85,0.1083,6.85,Not Hispanic,,,,,-6.85,,,6.85,,
BUTTERBALL LLC,M1 Baseline (60/40),race,1.75,2.375,0.1526,4.86,NHOPI,0.34,-0.4,1.7,,,,-4.86,,2.58,0.64
BUTTERBALL LLC,M1 Baseline (60/40),gender,4.23,4.23,0.0302,4.23,Male,,,,4.23,,-4.23,,,,
