company_code,best_method,mae_M3b_Damp-IPF,mae_M3_IPF,mae_M2c_ZIP-Tract,mae_M3c_Var-Damp-IPF,mae_M1b_Learned-Wt,naics_group,region,urbanicity,size_bucket,county_minority_share,acs_lodes_disagreement,has_tract_data,is_finance_insurance,is_admin_staffing,is_healthcare
L31246,M1b Learned-Wt,4.64,7.06,4.18,4.05,3.24,Accommodation/Food Svc (72),South,Urban,10000+,0.4096,25.439999999999998,1,0,0,0
A57288,M2c ZIP-Tract,5.04,12.05,4.22,5.56,4.49,Accommodation/Food Svc (72),South,Urban,1k-9999,0.3224,12.550000000000004,1,0,0,0
M54666,M1b Learned-Wt,18.74,20.38,17.26,16.7,14.65,Accommodation/Food Svc (72),West,Urban,1k-9999,0.7755,7.299999999999999,1,0,0,0
EK7826,M1b Learned-Wt,6.91,10.29,6.34,7.52,4.41,Admin/Staffing (56),Northeast,Suburban,100-999,0.067,23.989999999999995,1,0,1,0
P02174,M3 IPF,4.76,0.49,6.38,4.73,5.92,Admin/Staffing (56),Midwest,Urban,100-999,0.2038,0.18999999999999773,1,0,1,0
924588,M3 IPF,3.08,2.87,3.89,3.29,3.2,Admin/Staffing (56),Northeast,Urban,10000+,0.2416,4.909999999999997,1,0,1,0
JQ3667,M3 IPF,10.94,5.65,11.16,9.8,14.37,Admin/Staffing (56),South,Urban,1-99,0.2547,21.120000000000005,1,0,1,0
DP8366,M2c ZIP-Tract,6.96,12.41,6.59,6.85,7.23,Admin/Staffing (56),South,Suburban,100-999,0.2827,1.490000000000009,1,0,1,0
604954,M1b Learned-Wt,12.55,18.13,11.15,13.9,7.52,Admin/Staffing (56),West,Urban,10000+,0.2781,29.769999999999996,1,0,1,0
22578,M1b Learned-Wt,1.94,3.02,1.38,1.94,0.15,"Agriculture/Mining (11,21)",Midwest,Urban,1k-9999,0.2535,24.89999999999999,1,0,0,0
DP4172,M1b Learned-Wt,8.92,9.72,8.94,8.92,8.88,"Agriculture/Mining (11,21)",West,Urban,1-99,0.1126,1.0300000000000011,1,0,0,0
HM2581,M2c ZIP-Tract,4.72,7.71,3.18,4.72,3.62,"Agriculture/Mining (11,21)",West,Urban,100-999,0.2413,13.299999999999997,1,0,0,0
A56232,M3 IPF,4.65,0.47,6.31,4.8,5.09,Chemical/Material Mfg (325-327),Midwest,Suburban,100-999,0.1727,2.530000000000001,1,0,0,0
57122,M2c ZIP-Tract,4.3,6.98,3.87,4.49,4.51,Chemical/Material Mfg (325-327),Northeast,Suburban,10000+,0.0734,11.929999999999993,1,0,0,0
C02018,M3c Var-Damp-IPF,1.89,5.39,2.73,1.6,2.1,Chemical/Material Mfg (325-327),Northeast,Suburban,1k-9999,0.1726,9.420000000000002,1,0,0,0
593881,M1b Learned-Wt,2.3,4.82,1.77,1.88,1.27,Chemical/Material Mfg (325-327),Midwest,Suburban,1k-9999,0.1327,2.469999999999999,1,0,0,0
737852,M1b Learned-Wt,4.88,6.51,4.68,4.77,4.59,Chemical/Material Mfg (325-327),Midwest,Suburban,1k-9999,0.0591,5.560000000000002,1,0,0,0
JA1591,M3c Var-Damp-IPF,3.15,6.67,5.53,1.89,3.38,Computer/Electrical Mfg (334-335),West,Urban,1-99,0.2523,38.529999999999994,1,0,0,0
FX4827,M1b Learned-Wt,6.7,9.24,6.55,6.81,6.54,Computer/Electrical Mfg (334-335),South,Suburban,100-999,0.2245,1.0799999999999983,1,0,0,0
HP5895,M1b Learned-Wt,8.69,10.46,8.47,8.41,8.22,Computer/Electrical Mfg (334-335),South,Urban,1-99,0.3084,0.9899999999999949,1,0,0,0
AA5640,M3c Var-Damp-IPF,2.17,3.23,3.01,1.13,2.01,Construction (23),South,Rural,100-999,0.5024,24.640000000000008,1,0,0,0
AN3964,M3 IPF,6.34,3.26,10.17,5.61,5.27,Construction (23),South,Rural,100-999,0.4859,23.549999999999997,1,0,0,0
X51526,M2c ZIP-Tract,1.0,2.05,0.82,1.03,1.01,Construction (23),Midwest,Rural,1k-9999,0.0389,1.3499999999999943,1,0,0,0
B38037,M3 IPF,6.31,0.66,10.14,5.58,5.24,Construction (23),South,Rural,1k-9999,0.4859,23.549999999999997,1,0,0,0
HP5357,M1b Learned-Wt,19.32,22.03,18.56,18.73,17.04,Construction (23),West,Urban,100-999,0.1474,8.850000000000009,1,0,0,0
503328,M2c ZIP-Tract,3.46,9.51,2.76,4.0,4.75,Construction (23),West,Urban,1-99,0.2974,6.1499999999999915,1,0,0,0
EV9902,M1b Learned-Wt,2.34,3.17,4.36,2.23,2.01,Construction (23),Midwest,Urban,1-99,0.1598,8.11,1,0,0,0
DK7170,M3 IPF,3.47,0.39,4.17,3.23,3.17,Construction (23),Midwest,Urban,1-99,0.1611,6.450000000000003,1,0,0,0
T52248,M3 IPF,2.99,1.44,3.51,2.22,1.73,Construction (23),Northeast,Urban,1-99,0.281,18.669999999999987,1,0,0,0
HA3072,M3 IPF,4.07,0.52,4.49,3.46,2.98,Construction (23),Northeast,Urban,1-99,0.281,18.669999999999987,1,0,0,0
BQ0360,M1b Learned-Wt,2.54,7.55,5.22,1.99,1.64,Construction (23),West,Urban,1k-9999,0.4615,22.559999999999995,1,0,0,0
