"parent_candidate_name","pairs_sampled","unrelated_or_broken","reject_rate","mostly_generic_flag","cluster_size","sample_pair","sample_state"
"international house of pancakes","10","10","1.0","False","3","South Carolina Investment, Inc. | Nisyros International, Inc.","GA"
"marcos pizza","9","9","1.0","False","2","ARANC Food LLC | Triple S Food, Inc","NC"
"the ups store","7","7","1.0","False","3","Broward Investments, LLC | EZ Shipping LLC","FL"
"williams james","5","5","1.0","False","2","Williams James K | Williams James P.","CA"
"independent school dist","5","5","1.0","False","4","INDEPENDENT SCHOOL DIST. 2134 | INDEPENDENT SCHOOL DIST 818","MN"
"campbell william","4","4","1.0","False","2","CAMPBELL WILLIAM K | CAMPBELL WILLIAM V","CA"
"jones william","4","4","1.0","False","3","JONES WILLIAM D | Jones William L","CA"
"taco bell store","4","4","1.0","False","3","Sundance, Inc. | TACO BELL STORE #020721","MI"
"cohen david","4","4","1.0","False","3","COHEN DAVID L | Cohen David P.","PA"
"sullivan mark","4","4","1.0","False","3","Sullivan Mark A | SULLIVAN MARK W","PA"
"miller robert","4","4","1.0","False","2","Miller Robert Q. | Miller Robert W.","PA"
"smith richard","4","4","1.0","False","3","Smith Richard F | SMITH RICHARD G","GA"
"smith david","4","4","1.0","False","3","Smith David A | Smith David R","MA"
"el pollo rico","4","4","1.0","False","7","Pollo Borreacho, Inc. | Rehman Partners, Inc.","TX"
"jimmy johns store","4","4","1.0","False","7","JJ Alpine, Inc. | JJ Apline, Inc.","MI"
"wright christopher","3","3","1.0","False","3","Wright Christopher G. | Wright Christopher W","CA"
"black jeffrey","3","3","1.0","False","3","BLACK JEFFREY | Black Jeffrey G.","CA"
"brown jeffrey","3","3","1.0","False","3","Brown Jeffrey B. | BROWN JEFFREY J","CA"
"lewis richard","3","3","1.0","False","3","Lewis Richard B | Lewis Richard L","CA"
"conway michael","3","3","1.0","False","3","Conway Michael | Conway Michael D","CA"
"u s postal","3","3","1.0","False","3","U.S.  POSTAL SERVICE | U.S. POSTAL SERVICES","CA"
"wilson john","3","3","1.0","False","2","Wilson John N | Wilson John O","CA"
"republic","3","3","1.0","False","3","Republic Services | Guardians of the Republic, Inc.","CA"
"kelly brian","3","3","1.0","False","2","Kelly Brian J | Kelly Brian M","CA"
"lafayette home care","3","3","1.0","False","3","Lafayette Home Care | DBA Alondra Home","CA"
"miller david","3","3","1.0","False","3","MILLER DAVID A | Miller David L","TX"
"johnson robert","3","3","1.0","False","3","JOHNSON ROBERT D | Johnson Robert L.","TX"
"the pumpkin share","3","3","1.0","False","3","21301 South Dixie Highway, inc | Creative Child Invetments, Inc","FL"
"freedom oil","3","3","1.0","False","3","Freedom Oil Company | Freedom Oil Company","IL"
"comfort keepers","3","3","1.0","False","2","S&S Home Care, Inc. | COMFORT KEEPERS, INC.","IL"
"miller john","3","3","1.0","False","3","Miller John P. | MILLER JOHN V","IL"
"king scott","3","3","1.0","False","3","King Scott A | King Scott H","OH"
"burgess richard","3","3","1.0","False","3","BURGESS RICHARD | BURGESS RICHARD J","MI"
