"primary_signal","engine_rule","tier_bucket","state","name1","name2","src1","src2","reasoning"
"dba_alias","H5+H8+H9","dedup_tier_C","CA","SF MARKETS, LLC","SF MARKETS, LLC DBA SPROUTS FARMERS MARKET","osha","osha","Record B adds 'DBA SPROUTS FARMERS MARKET' to Record A's core name. Same legal entity (SF Markets LLC) operating under a doing-business-as name. Identical city, state, ZIP, NAICS, source, and employee counts all confirm. DBA is a trade name, not a separate entity."
"dba_alias","H5+H8+H9","dedup_tier_C","CA","CITY AMBULANCE OF EUREKA INC","CITY AMBULANCE OF EUREKA INC DBA HUMBOLDT DIAL A R","sam","osha","Record B's display name includes 'DBA HUMBOLDT DIAL A R', indicating Record A is the legal entity name and Record B captures the same entity with a DBA (doing business as) alias. Identical city, state, ZIP, NAICS code, and business type across two independent sources (SAM and OSHA) confirm same entity."
"dba_alias","H9","dedup_tier_C","CA","Volume Services America","Volume Services America d/b/a Service America Corp.","f7","f7","Record B explicitly marks 'Service America Corp' as a d/b/a (doing-business-as) alias of 'Volume Services America'. Same city, ZIP, NAICS, employee count (~114 vs 110), and source (f7). Both missing EIN but all other identifiers align. DBA pattern indicates same legal entity operating under multiple names."
"dba_alias","H5+H8+H9","dedup_tier_C","CA","MODESTO HOSPITALITY, LLC","MODESTO HOSPITALITY, LLC DBA DOUBLETREE HOTEL MODESTO","sam","nlrb","Same legal entity name (MODESTO HOSPITALITY LLC) in same city/ZIP across two independent sources (SAM, NLRB). Record B adds DBA operating name (DoubleTree Hotel Modesto), a common operating alias. No EIN conflict. Merge recommended."
"dba_alias","H5+H8+H9","dedup_tier_C","CA","JOSE AND MARIA FERNANDES","JOSE AND MARIA FERNANDES DBA SUNRISE NURSERY","osha","osha","Record B adds 'DBA SUNRISE NURSERY' to Record A's base name; same city, state, ZIP, NAICS code, and source (OSHA). DBA indicates operating alias of same entity."
"dba_alias","H5+H8+H9","dedup_tier_C","CA","TAM NGUYEN & ROBERT ARANA","TAM NGUYEN & ROBERT ARANA DBA AUTOLAND","osha","osha","Record B adds 'DBA AUTOLAND' (doing-business-as alias) to Record A's core name. Same owners, same city/ZIP, same NAICS code, same source (OSHA). DBA is a trade name variant of the same proprietorship."
"dba_alias","H9","dedup_tier_C","IL","Metal Improvement Company Curtiss-Wright","Curtiss Wright d/b/a Metal Improvement Company","f7","nlrb","Record B explicitly marks 'Metal Improvement Company' as d/b/a (doing business as) of Curtiss Wright. Both records share identical city, state, ZIP; same NAICS sector; different sources (f7 vs NLRB) independently confirm the same entity operating under two names."
"dba_alias","H5+H8","dedup_tier_C","IL","PARISO, INC. DBA VP FINISH","PARISO, INC.","osha","mergent","Record A shows 'PARISO, INC. DBA VP FINISH' while Record B shows 'PARISO, INC.' Same city, state, ZIP, NAICS code, and employee count (7 vs 10 is minor variance). DBA indicates same legal entity operating under a trade name. EIN on B confirms identity."
"dba_alias","H5+H8+H9","dedup_tier_C","IL","STANDARD AERO BUSINESS AVIATION SERVICES, LLC","STANDARD AERO BUSINESS AVIATION SERVICES, LLC DBA STANDARD AERO","osha","osha","Record B is Record A with explicit DBA notation appended. Same LLC name, city, state, ZIP, NAICS code, same source (OSHA), both for-profit. DBA alias indicates same legal entity operating under alternate name. Employee count variance (215 vs 168) is typical across snapshot dates."
"dba_alias","H9","dedup_tier_C","OH","Fairfax Health Care Center (Inner City Nursing Home Inc)","INNER CITY NURSING HOME, INC. D/B/A FAIRFAX HEALTH CARE CENTER","f7","nlrb","Record B explicitly states 'D/B/A FAIRFAX HEALTH CARE CENTER', confirming Record A's primary name is the DBA of Record B's legal entity. Same city, state, ZIP (differ only in final digits: 2932 vs 2900, likely suite/unit variation). Both for-profit, same NAICS sector, same employee range. Canonical forms share all core tokens."
"dba_alias","H9","dedup_tier_C","OH","Rockynol Retirement Community (Ohio Presbyterian Retirement Services)","OHIO PRESBYTERIAN RETIREMENT SERVICES D/B/A ROCKYNOL RETIREMENT COMMUNITY","f7","nlrb","Record B explicitly names Ohio Presbyterian Retirement Services D/B/A Rockynol Retirement Community, making the relationship clear: Rockynol is the DBA of Ohio Presbyterian. Same city, ZIP, NAICS sector, and two different sources confirming same entity."
"dba_alias","H5+H8+H9","dedup_tier_C","MI","GAYLORD OPCO, LLC","GAYLORD OPCO, LLC DBA MEDILODGE OF GAYLORD","sam","osha","Record B is Record A with a DBA (doing business as) suffix. Same legal name 'GAYLORD OPCO LLC', identical location (city, state, ZIP), same NAICS code (623110 = nursing/residential care), same source jurisdiction. DBA is an operating alias, not a separate entity."
"dba_alias","H5+H8","dedup_tier_C","MI","THE TRENTON CORPORATION","THE TRENTON CORPORATION DBA TRENTON CORPORATION","sam","osha","Same legal name across two sources (SAM vs OSHA); Record B adds 'DBA TRENTON CORPORATION' which is a known-alias designator, not a separate entity. Identical city, state, ZIP, NAICS code confirm same establishment."
"dba_alias","H5+H8+H9","dedup_tier_C","MI","PETOSKEY OPCO LLC","PETOSKEY OPCO LLC DBA VILLA AT THE BAY","sam","osha","Record B is same entity as Record A with added DBA (doing business as) suffix. Identical city, state, ZIP, NAICS code (623110 = nursing care), and same source diversity (sam + osha). DBA indicates operating name alias, not a distinct legal entity."
"dba_alias","H5+H8+H9","dedup_tier_C","MI","OPEN DOOR LIVING ASSOCIATION, INC","OPEN DOOR LIVING ASSOCIATION INC DBA BELIEF ECLECTIC LEARNING","sam","osha","Both records share identical location (Eastpointe MI 48021) and core name tokens. Record B adds 'DBA BELIEF ECLECTIC LEARNING', a doing-business-as alias, not a distinct entity. Different NAICS codes (621330 vs 624410) suggest data variance across sources but both are healthcare/social assistance. No EIN conflict. Two independent sources (SAM, OSHA) capturing same org."
"dba_alias","H9+H3","dedup_tier_C","PA","Safari Contract Cleaners","Safari Enterprises, Inc., d/b/a Safari Contract Cleaners","f7","nlrb","Record B explicitly names Record A as a DBA (d/b/a Safari Contract Cleaners); same city, state, ZIP; different sources (f7 vs nlrb) independently capturing same operating entity."
"dba_alias","H5+H8+H9","dedup_tier_C","GA","EAGLE UNITED TRUCK WASH, LLC","EAGLE UNITED TRUCK WASH, LLC, DBA EAGLE TRUCK WASH","osha","osha","Record B is Record A with DBA (doing business as) alias appended. Same legal entity, location, NAICS, source; employee count variance (12 vs 14) is minor and expected in overlapping OSHA records. DBA pattern confirms single entity with trade name."
"dba_alias","H5+H8+H9","dedup_tier_C","NC","WEAVER HOMES, LLC","WEAVER HOMES DBA WEAVER HOMES DEVELOPMENT CO. INC.","osha","osha","Record B explicitly states 'DBA WEAVER HOMES DEVELOPMENT CO. INC.' indicating it is a doing-business-as alias of the base entity in Record A. Same city, ZIP, NAICS, state, nonprofit status; same source (OSHA). Employee count differs (3 vs 1) suggesting possible data capture timing or reporting variation. DBA pattern strongly indicates same legal entity operating under multiple names."
"dba_alias","H9","dedup_tier_C","VA","UNITED STATES PIPE & FOUNDRY COMPANY, LLC","UNITED STATES PIPE & FOUNDRY COMPANY, LLC D.B.A U.S. PIPE F.K.A. GRIFFIN PIPE PRODUCTS, LLC","osha","osha","Both records are UNITED STATES PIPE & FOUNDRY COMPANY, LLC at identical Lynchburg VA address. Record B explicitly identifies itself as D.B.A. (doing business as) U.S. PIPE and F.K.A. (formerly) GRIFFIN PIPE PRODUCTS, indicating same entity with historical/operational aliases. Same source (OSHA) captures same establishment twice with variant naming. Employee count variance (320 vs 300) and NAICS difference (331110 vs 331210) suggest different capture dates or reporting methods for same facility. No EIN to confirm, but location, legal name match, and DBA annotation strongly indicate one entity."
"dba_alias","H9","dedup_tier_C","MA","HORIZON BRADCO","Horizon Food Equipment, Inc. d/b/a Horizon Bradco","nlrb","nlrb","Record B explicitly states 'd/b/a Horizon Bradco', confirming that 'Horizon Bradco' (Record A) is the doing-business-as name of 'Horizon Food Equipment, Inc.' Same city, ZIP, state, and source (NLRB); this is a canonical parent-to-alias relationship, not two separate entities."
"dba_alias","H5+H8","dedup_tier_C","MN","DENTIM INC","DENTIM INC DBA ETCHIT","sam","osha","Same legal name (DENTIM INC) with Record B adding DBA (Doing Business As) 'ETCHIT'. Identical city, state, ZIP, NAICS code, and for-profit status across two different sources (SAM vs OSHA). DBA is a business alias, not a separate legal entity."
"dba_alias","H9","hierarchy_h9","TX","Jaime's Hut, LLC dba Jaime's Hut Cafe","Jaime's Hut","whd","whd","Record A shows 'Jaime's Hut, LLC dba Jaime's Hut Cafe'; Record B is 'Jaime's Hut'. Same ZIP (79905), same state (TX), same source (whd). The 'dba' (doing business as) relationship and matching core name tokens suggest these are the same entity with one record capturing the DBA alias. Medium confidence due to missing EIN and city, plus both records from same source system."
"dba_alias","H9","hierarchy_h9","MI","PARK NURSING CENTER OF TAYLOR, LLC","PARK NURSING CENTER OF TAYLOR LLC DBA REGENCY, A VILLA CENTER","sam","osha","Record B explicitly states 'DBA REGENCY, A VILLA CENTER' indicating an operating name/alias for the same legal entity. Both records share identical core name 'PARK NURSING CENTER OF TAYLOR LLC', same state (MI), same ZIP (48180), and come from different sources (sam vs osha)."
"dba_alias","H9","hierarchy_h9","NC","JAMES L. HOPE","JAMES L. HOPE DBA JAMES L. HOPE","osha","osha","Record B explicitly states 'DBA JAMES L. HOPE' (doing business as), indicating it is an alias or alternative name for the same entity as Record A. Same state, ZIP, and source (OSHA) confirm identity. Both records lack EIN/NAICS, so confidence is MEDIUM per R11."
"dba_alias","H9","hierarchy_h9","NC","WESTWOOD HEALTHCARE, LLC","WESTWOOD HEALTHCARE, LLC DBA WESTWOOD HEALTH & REH","sam","osha","Record B explicitly names Record A as the DBA (doing-business-as); same legal entity operating under alternate name. Same ZIP, state, and source diversity (SAM vs OSHA) corroborate."
"dba_alias","H9","hierarchy_h9","VA","GE Aviation Systems LLC","GE Aviation Systems LLC, dba Dowty Propellers","f7","f7","Record B explicitly names Record A as parent with 'dba Dowty Propellers' (doing-business-as). Same company, same ZIP, same source (f7). DBA is a legal alias, not a separate entity."
"dba_alias","H9","hierarchy_h9","AZ","Central Hockey League (Western Professional Hockey League Inc)","WESTERN PROFESSIONAL HOCKEY LEAGUE, INC. D/B/A CENTRAL HOCKEY LEAGUE","f7","nlrb","Record A shows 'Central Hockey League (Western Professional Hockey League Inc)'; Record B shows 'Western Professional Hockey League Inc D/B/A Central Hockey League'. Both records identify the same entity using DBA (doing business as) notation. Same ZIP, different sources (F7 vs NLRB) corroborate. Core legal entity name + operating name match."
"dba_alias","H5+H8+H9","dedup_tier_C","MI","FAMILIES AGAINST NARCOTICS, INC","FAMILIES AGAINST NARCOTICS INC DBA FACE ADDICTION NOW","sam","990","Same legal name 'Families Against Narcotics Inc' in identical location (Clinton Township MI 48038). Record B adds 'DBA Face Addiction Now' (doing-business-as alias). Nonprofit status difference is explained by source: SAM (for-profit flag) vs 990 (nonprofit). EIN in B confirms nonprofit status. All location fields match perfectly."
"dba_alias","H9","dedup_tier_C","TX","FIRST UNITED METHODIST CHURCH, OF COMMERCE, TEXAS","FIRST UNITED METHODIST CHURCH DBA DEPARTMENT LITTLE ARK","sam","990","Same city, ZIP, and street address in Commerce TX. Record B explicitly names Record A as a DBA (operating alias). nonprofit mismatch (False vs True) is unusual but consistent with SAM vs 990 reporting differences for same entity. EIN present in B only; medium confidence due to this inconsistency."
