"state","engine_rule","n_tier_ab","n_duplicate","precision"
"AZ","H2+H6","269","236","0.8773"
"CA","H2+H6","335","258","0.7701"
"DC","H2+H6","133","91","0.6842"
"FL","H2+H6","316","283","0.8956"
"GA","H2+H6","296","258","0.8716"
"IL","H2+H6","322","233","0.7236"
"MA","H2+H6","308","236","0.7662"
"MI","H2+H6","304","242","0.7961"
"MN","H2+H6","303","247","0.8152"
"NC","H2+H6","298","267","0.896"
"NJ","H2+H6","300","265","0.8833"
"OH","H2+H6","307","268","0.873"
"PA","H2+H6","310","273","0.8806"
"TN","H2+H6","303","243","0.802"
"TX","H2+H6","312","265","0.8494"
"VA","H2+H6","300","253","0.8433"
"WA","H2+H6","297","174","0.5859"
