"label","primary_signal","engine_rule","cluster_size","total_same_signal","purity","sample_pair_1","sample_pair_2","sample_state"
"SIBLING","series_number","H4","8457","8630","0.98","Sequoia Mortgage Trust 2017 6 | Sequoia Mortgage Trust 2017 7","COMMODITY INDEX DAILY FUND E | Commodity Index Daily Fund M","CA"
"DUPLICATE","name_byte_identical","H2+H6","3144","3145","0.9997","1327 5th St., LLC | 1327 5th St., LLC","2900 WILSHIRE, LLC | 2900 WILSHIRE, LLC","CA"
"UNRELATED","name_token_overlap","<none>","2559","2628","0.9737","W C DEVELOPMENT SERVICES, INC. | 38 DEVELOPMENT, INC.","POWAY UNIFIED SCHOOL DISTRICT CAPITAL FACILITIES FINANCING CORPORATION | POWAY VILLAS HOUSING ASSOCIATES LP","CA"
"UNRELATED","ein_conflict","<none>","1606","1623","0.9895","MONTEBELLO CHURCH OF RELIGIOUS SCIENCE | MONTEBELLO FOURSQUARE CHURCH","SANTA MARIA KOREAN PRESBYTERIAN CHURCH | SANTA MARIA VALLEY QUILT GUILD","CA"
"SIBLING","chapter_structure","H4","1511","1557","0.9705","SLOVENE NATIONAL BENEFIT SOCIETY 304 | SLOVENE NATIONAL BENEFIT SOCIETY 723","BOY SCOUTS OF AMERICA TROOP 474 | BOY SCOUTS OF AMERICA-TROOP 53","CA"
"DUPLICATE","name_punctuation_only_diff","H9","1256","1261","0.996","Engineering Contractors Association Inc. (San Diego) Construction | ENGINEERING CONTRACTORS ASSOCIATION, INC/SAN DIEGO","PINNACLE VENTURES EQUITY FUND I AFFILIATES L P | Pinnacle Ventures Equity Fund I Affiliates LP","CA"
"DUPLICATE","name_punctuation_only_diff","H2+H6","656","673","0.9747","LA JOLLA BEACH & TENNIS CLUB, INC. | LA JOLLA BEACH AND TENNIS CLUB INC.","George P Johnson Company | George P. Johnson Co.","CA"
"DUPLICATE","source_diversity_agree","H9","471","471","1.0","O. Keller Tool Engineering Company | O. KELLER TOOL ENGINEERING COMPANY, LLC","ARES EUROPEAN CREDIT SOLUTIONS FUND (MASTER) FCP | ARES EUROPEAN CREDIT SOLUTIONS FUND (MASTER) FCP","MI"
"DUPLICATE","name_byte_identical","H9","415","415","1.0","KOODAK LP | KOODAK LP","TARRANT COUNTY COLLEGE DISTRICT | Tarrant County College District","TX"
"RELATED","chain_location","H9","335","341","0.9824","CA CORRECTIONS & REHABILITATION, WASCO STATE PRISON (WSP) | CA CORRECTIONS AND REHABILITATION, WASCO STATE PRISON-RECEPTION CENTER (WSP-RC))","Golden Living Center | Golden Living Center-Galt","CA"
"UNRELATED","geographic_mismatch","H4","257","259","0.9923","Wright Christopher G. | Wright Christopher W","L.P. A. & T. Corporation | LPA & T Corporation","CA"
"SIBLING","series_number","H2+H6","254","263","0.9658","TCP Direct Lending Fund VIII-A MM, LLC | TCP Direct Lending Fund VIII MM, LLC","8-Bit Capital II, L.P. | 8-Bit Capital II-A, L.P.","CA"
"RELATED","chain_location","H2+H5+H8+H1","207","212","0.9764","QUEST DIAGNOSTICS CLINICAL LABORATORIES, INC. | QUEST DIAGNOSTICS CLINICAL LABORATORIES INC","AVIS RENT-A-CAR/LAX, BURBANK, 96TH STREET | AVIS RENT-A-CAR LAX, BURBANK, 96TH STREET","CA"
"RELATED","chain_location","H2+H5+H8","158","160","0.9875","First Student | First Student Inc.","Sonoco Products Company | Sonoco Products","CA"
"UNRELATED","insufficient_information","H4","152","152","1.0","Johnson Jeff | Johnson Jeff G","Thomas William | THOMAS WILLIAM E","CA"
"DUPLICATE","name_punctuation_only_diff","H4","132","138","0.9565","OceanIQ Partners/Paxata Series LLC | OceanIQ Partners/Paxata Series, LLC","Genesis Health Care Inc. | Genesis Health Care Inc","CA"
"RELATED","chain_location","H2+H6","115","115","1.0","Magnussen Toyota of Palo Alto | Magnussen Toyota of Palo Alto","ARROWHEAD BRASS AND PLUMBING, LLC | ARROWHEAD BRASS AND PLUMBING LLC","CA"
"RELATED","zip_city_match","H2+H5+H8","112","113","0.9912","FUNCTIONAL SOFTWARE, INC | FUNCTIONAL SOFTWARE, INC.","VANIR TOWER BUILDING, INC | Vanir Tower Building, Inc.","CA"
"RELATED","chain_location","H3","76","79","0.962","Walmart Stores East, LP | WALMART DISTRIBUTION CENTER - FC 7555","Joseph's Classic Market Realty, LLC | JOSEPH'S CLASSIC MARKET REALTY, LLC","TX"
