f_num,union_name,local_number,desig_name,city,state,members,yr_covered
547227,TEAMSTERS,1,LU,STATEN ISLAND,NY,0,2024
32175,TEAMSTERS,1,LU,QUINCY,MA,0,2020
5522,TEAMSTERS,2,LU,MATAWAN,NJ,248,2024
1364,TEAMSTERS,2,LU,BUTTE,MT,3073,2024
46445,TEAMSTERS,3,LU,QUINCY,MA,405,2024
38170,TEAMSTERS,5,LU,BATON ROUGE,LA,311,2024
5879,TEAMSTERS,6,LU,St. Louis,MO,908,2024
19535,TEAMSTERS,7,LU,KALAMAZOO,MI,1054,2018
62025,TEAMSTERS,11,LU,NORTH HALEDON,NJ,2994,2024
33295,TEAMSTERS,14,LU,LAS VEGAS,NV,4981,2024
25769,TEAMSTERS,17,LU,DENVER,CO,3571,2024
67095,TEAMSTERS,19,LU,HOUSTON,TX,2583,2024
8580,TEAMSTERS,20,LU,TOLEDO,OH,5297,2024
58925,TEAMSTERS,22,LU,COLLINSVILLE,VA,572,2024
22571,TEAMSTERS,24,LU,AKRON,OH,761,2024
33335,TEAMSTERS,25,LU,CHARLESTOWN,MA,13652,2024
21922,TEAMSTERS,26,LU,CHAMPAIGN,IL,1393,2024
60489,TEAMSTERS,29,LU,VERONA,VA,1334,2024
36259,TEAMSTERS,30,LU,JEANNETTE,PA,1965,2024
43072,TEAMSTERS,35,LU,TRENTON,NJ,726,2024
35343,TEAMSTERS,36,LU,SAN DIEGO,CA,1080,2015
23943,TEAMSTERS,38,LU,EVERETT,WA,4584,2024
1809,TEAMSTERS,40,LU,MANSFIELD,OH,337,2024
26749,TEAMSTERS,41,LU,KANSAS CITY,MO,6054,2024
17606,TEAMSTERS,42,LU,Lynnfield,MA,744,2024
21917,TEAMSTERS,43,LU,RACINE,WI,598,2014
11444,TEAMSTERS,50,LU,Swansea,IL,2160,2024
37873,TEAMSTERS,51,LU,DETROIT,MI,463,2015
39065,TEAMSTERS,52,LU,VALLEY VIEW,OH,1256,2024
1854,TEAMSTERS,58,LU,VANCOUVER,WA,2152,2024
3771,TEAMSTERS,59,LU,NEW BEDFORD,MA,1628,2024
13418,TEAMSTERS,61,LU,ASHEVILLE,NC,1302,2024
508852,TEAMSTERS,63,LU,RIALTO,CA,19199,2024
26592,TEAMSTERS,67,LU,WASHINGTON,DC,0,2014
10997,TEAMSTERS,70,LU,OAKLAND,CA,5342,2024
27210,TEAMSTERS,71,LU,CHARLOTTE,NC,2447,2024
35477,TEAMSTERS,79,LU,TAMPA,FL,5705,2024
11937,TEAMSTERS,81,LU,PORTLAND,OR,239,2024
51840,TEAMSTERS,82,LU,CHARLESTOWN,MA,474,2011
39861,TEAMSTERS,87,LU,BAKERSFIELD,CA,1344,2024
20926,TEAMSTERS,89,LU,LOUISVILLE,KY,19132,2024
26747,TEAMSTERS,90,LU,DES MOINES,IA,1096,2024
16786,TEAMSTERS,92,LU,CANTON,OH,2102,2024
514556,TEAMSTERS,95,LU,WILLIAMSBURG,VA,368,2024
65374,TEAMSTERS,96,LU,SUITLAND,MD,514,2024
35045,TEAMSTERS,97,LU,CLARK,NJ,5948,2024
32509,TEAMSTERS,100,LU,CINCINNATI,OH,4981,2024
67240,TEAMSTERS,101,LU,Richmond,VA,331,2024
28724,TEAMSTERS,102,LU,SPRINGFIELD,NJ,0,2017
4987,TEAMSTERS,104,LU,PHOENIX,AZ,9288,2024
33820,TEAMSTERS,107,LU,PHILADELPHIA,PA,2930,2024
12194,TEAMSTERS,110,LU,EBENSBURG,PA,1212,2024
5375,TEAMSTERS,111,LU,RAHWAY,NJ,1702,2012
37069,TEAMSTERS,114,LU,Cincinnati,OH,575,2024
12292,TEAMSTERS,115,LU,PHILADELPHIA,PA,1910,2024
5960,TEAMSTERS,117,LU,TUKWILA,WA,16646,2024
1802,TEAMSTERS,118,LU,ROCHESTER,NY,4336,2024
521551,TEAMSTERS,119,LU,SOUTHAVEN,TN,0,2014
1526,TEAMSTERS,120,LU,BLAINE,MN,13772,2024
62808,TEAMSTERS,122,LU,Dorchester,MA,773,2024
7165,TEAMSTERS,125,LU,WAYNE,NJ,3951,2024
27370,TEAMSTERS,126,LU,WASHINGTON,DC,0,2024
9836,TEAMSTERS,135,LU,INDIANAPOLIS,IN,12631,2024
30469,TEAMSTERS,137,LU,REDDING,CA,3456,2024
28845,TEAMSTERS,142,LU,GARY,IN,3193,2024
40388,TEAMSTERS,145,LU,BRIDGEPORT,CT,637,2024
3293,TEAMSTERS,150,LU,SACRAMENTO,CA,8364,2024
46090,TEAMSTERS,160,LU,ROCHESTER,MN,0,2017
2370,TEAMSTERS,162,LU,PORTLAND,OR,6228,2024
33285,TEAMSTERS,164,LU,DETROIT,MI,866,2014
36206,TEAMSTERS,166,LU,BLOOMINGTON,CA,7401,2024
21839,TEAMSTERS,169,LU,ELKINS PARK,PA,1043,2024
19903,TEAMSTERS,170,LU,WORCESTER,MA,3829,2024
30338,TEAMSTERS,171,LU,Salem,VA,1652,2024
10653,TEAMSTERS,173,LU,BRADENTON,FL,1161,2024
7715,TEAMSTERS,174,LU,TUKWILA,WA,8838,2024
1608,TEAMSTERS,175,LU,SOUTH CHARLESTON,WV,2840,2024
9355,TEAMSTERS,177,LU,HILLSIDE,NJ,15881,2024
17603,TEAMSTERS,179,LU,JOLIET,IL,3280,2024
13876,TEAMSTERS,182,LU,UTICA,NY,1338,2014
5693,TEAMSTERS,186,LU,VENTURA,CA,2519,2024
17236,TEAMSTERS,190,LU,BILLINGS,MT,1641,2024
32953,TEAMSTERS,191,LU,BRIDGEPORT,CT,2545,2024
13815,TEAMSTERS,200,LU,MILWAUKEE,WI,3199,2024
26719,TEAMSTERS,202,LU,BRONX,NY,4265,2024
10118,TEAMSTERS,205,LU,WHITE OAK,PA,2140,2024
42547,TEAMSTERS,206,LU,PORTLAND,OR,2351,2024
46272,TEAMSTERS,210,LU,STATEN ISLAND,NY,10090,2024
27264,TEAMSTERS,211,LU,CARNEGIE,PA,64,2019
28326,TEAMSTERS,215,LU,EVANSVILLE,IN,2373,2024
513079,TEAMSTERS,217,LU,JACKSON,TN,284,2014
17602,TEAMSTERS,222,LU,SALT LAKE CITY,UT,4293,2024
30334,TEAMSTERS,223,LU,GLADSTONE,OR,2320,2024
1601,TEAMSTERS,229,LU,Dunmore,PA,1429,2024
18395,TEAMSTERS,231,LU,BELLINGHAM,WA,2335,2024
37965,TEAMSTERS,236,LU,Paducah,KY,388,2024
6334,TEAMSTERS,238,LU,CEDAR RAPIDS,IA,4661,2024
30804,TEAMSTERS,243,LU,PLYMOUTH,MI,5188,2024
19782,TEAMSTERS,244,LU,VALLEY VIEW,OH,0,2017
45585,TEAMSTERS,245,LU,SPRINGFIELD,MO,2074,2024
28810,TEAMSTERS,247,LU,DETROIT,MI,2081,2024
28815,TEAMSTERS,249,LU,PITTSBURGH,PA,3134,2024
14231,TEAMSTERS,250,LU,PITTSBURGH,PA,1399,2024
30541,TEAMSTERS,251,LU,EAST PROVIDENCE,RI,6957,2024
1682,TEAMSTERS,252,LU,CENTRALIA,WA,2253,2024
10214,TEAMSTERS,259,LU,Boston,MA,193,2016
