local_number,match_status,official_name,db_name,official_city,db_city,official_state,db_state,db_members,db_f_num,issues
25,DISCREPANCY,Teamsters LU No 25,TEAMSTERS,Boston,CHARLESTOWN,MA,MA,13652,33335,city: Boston vs CHARLESTOWN
122,DISCREPANCY,Teamsters LU No 122,TEAMSTERS,Boston,Dorchester,MA,MA,773,62808,city: Boston vs Dorchester
229,DISCREPANCY,Teamsters LU No 229,TEAMSTERS,Scranton,Dunmore,PA,PA,1429,1601,city: Scranton vs Dunmore
251,DISCREPANCY,Teamsters LU No 251,TEAMSTERS,E. Providence,EAST PROVIDENCE,RI,RI,6957,30541,city: E. Providence vs EAST PROVIDENCE
293,DISCREPANCY,Teamsters LU No 293,TEAMSTERS,Independence,CLEVELAND,OH,OH,1324,13201,city: Independence vs CLEVELAND
340,DISCREPANCY,Teamsters LU No 340,TEAMSTERS,S. Portland,SOUTH PORTLAND,ME,ME,3701,11443,city: S. Portland vs SOUTH PORTLAND
344,DISCREPANCY,Teamsters LU No 344,TEAMSTERS,Milwaukee,WEST ALLIS,WI,WI,4922,36973,city: Milwaukee vs WEST ALLIS
453,DISCREPANCY,Teamsters LU No 453,TEAMSTERS,Cumberland,WASHINGTON,MD,DC,0,1015,state: MD vs DC; city: Cumberland vs WASHINGTON
541,DISCREPANCY,Teamsters LU No 541,TEAMSTERS,Oak Grove,KANSAS CITY,MO,MO,785,16715,city: Oak Grove vs KANSAS CITY
589,DISCREPANCY,Teamsters LU No 589,TEAMSTERS,Silverdale,PORT ANGELES,WA,WA,1443,42242,city: Silverdale vs PORT ANGELES
597,DISCREPANCY,Teamsters LU No 597,TEAMSTERS,Williston,South Barre,VT,VT,1062,18732,city: Williston vs South Barre
604,DISCREPANCY,Teamsters LU No 604,TEAMSTERS,St Louis,ST. LOUIS,MO,MO,245,20901,city: St Louis vs ST. LOUIS
688,DISCREPANCY,Teamsters LU No 688,TEAMSTERS,St Louis,Woodson Terrace,MO,MO,8793,25471,city: St Louis vs Woodson Terrace
722,DISCREPANCY,Teamsters LU No 722,TEAMSTERS,La Salle,LASALLE,IL,IL,1140,33333,city: La Salle vs LASALLE
802,DISCREPANCY,Teamsters LU No 802,TEAMSTERS,Deer Park,BALDWIN,NY,NY,1629,27262,city: Deer Park vs BALDWIN
1070,DISCREPANCY,Teamsters LU No 1070,TEAMSTERS,Lafayette,Michigantown,IN,IN,217,65229,city: Lafayette vs Michigantown
1129,DISCREPANCY,Teamsters LU No 1129,TEAMSTERS,White,CARTERSVILLE,GA,GA,351,530702,city: White vs CARTERSVILLE
2727,DISCREPANCY,Teamsters LU No 2727,TEAMSTERS,Shepherdsville,LOUISVILLE,KY,KY,2054,517674,city: Shepherdsville vs LOUISVILLE
