local_number,local_name,city,state,zip,phone,email,website,leadership_name,leadership_title,divisions,full_address,latitude,longitude,scraped_at
2,Teamsters LU No 2,Butte,MT,59702,(406) 494-2747,erin.foley@teamsterslocal2.org,https://www.teamsterslocal2.org,Erin Foley,Secretary-Treasurer,"Brewery, Bakery, & Soft Drink, Building Material and Construction Trade Division, Convention, Trade Show & Casino Division, Food Processing Division, Freight Division, Package Division, Public Services and Health Care Division, Solid Waste and Recycling Division, Tankhaul Division, Warehouse Division","Post Office Box 3745 Butte MT , 59702",45.905345,-112.637705,2026-02-03T08:59:28.293437
3,Teamsters LU No 3,Quincy,MA,02169,(617) 328-7705,,,Stephen T. Sullivan,President,Graphics Communications,"1073 Hancock St Suite 303 Quincy MA , 02169",42.255584,-71.006942,2026-02-03T08:59:28.293453
5,Teamsters LU No 5,Baton Rouge,LA,70806,(225) 924-3886,teamsterlocalun@cox-internet.com,,Jerry Barnum Jr,Secretary-Treasurer,"Building Material and Construction Trade Division, Convention, Trade Show & Casino Division, Freight Division, Industrial Trades Division, Passenger Transportation, Warehouse Division","1772 Dallas Drive Baton Rouge LA , 70806",30.465996,-91.11004,2026-02-03T08:59:28.293459
6,Teamsters LU No 6,St. Louis,MO,63118,(314) 772-2033,teamsters6@sbcglobal.net,https://www.teamsterslocal6.com,Joe Segrest,Secretary-Treasurer,"Brewery, Bakery, & Soft Drink, Food Processing Division","P.O. Box 1889 2920 Meramec Street St. Louis MO , 63118",38.588193,-90.221442,2026-02-03T08:59:28.293463
8,Teamsters LU No 8,State College,PA,16803,(814) 548-1429,,https://www.ibtlocal8.org,Jonathan Light,President,Public Services and Health Care Division,"2225 High Tech Road State College PA , 16803",40.856825,-77.857679,2026-02-03T08:59:28.293466
11,Teamsters LU No 11,North Haledon,NJ,07508,(973) 636-0093,,,Michael Curcio,President,"Brewery, Bakery, & Soft Drink, Building Material and Construction Trade Division, Food Processing Division, Freight Division, Industrial Trades Division, Public Services and Health Care Division, Tankhaul Division, Warehouse Division","810 Belmont Ave Suite 200 North Haledon NJ , 07508",40.950579,-74.187973,2026-02-03T08:59:28.293469
14,Teamsters LU No 14,Las Vegas,NV,89117,(702) 384-7841,info1@teamsters14.com,https://www.teamsters14.com,Jason Gateley,Secretary-Treasurer,"Brewery, Bakery, & Soft Drink, Convention, Trade Show & Casino Division, Food Processing Division, Industrial Trades Division, Public Services and Health Care Division, Tankhaul Division, Warehouse Division","8951 West Sahara Ave #100 Las Vegas NV , 89117",36.143672,-115.292156,2026-02-03T08:59:28.293472
17,Teamsters LU No 17,Denver,CO,80221,(303) 433-6496,,https://www.teamsterslocal17.org,Duane C. Grove,Secretary-Treasurer,"Food Processing Division, Freight Division, Package Division, Public Services and Health Care Division","7010 Broadway, Ste200 Denver CO , 80221",39.824644,-104.984202,2026-02-03T08:59:28.293475
19,Teamsters LU No 19,Houston,TX,77060,(713) 672-8155,,https://www.teamsterslocal19.org,David Watford,President,"Airline Division, Freight Division, Industrial Trades Division, Public Services and Health Care Division","151 Northpoint Drive Houston TX , 77060",29.938482,-95.405119,2026-02-03T08:59:28.293478
20,Teamsters LU No 20,Toledo,OH,43609,(419) 243-8800,m.schmiehausen@ibt20.com,https://www.teamsters20.com,Mark Schmiehausen,President,"Brewery, Bakery, & Soft Drink, Building Material and Construction Trade Division, Convention, Trade Show & Casino Division, Food Processing Division, Freight Division, Industrial Trades Division, Package Division, Passenger Transportation, Public Services and Health Care Division, Solid Waste and Recycling Division, Tankhaul Division, Warehouse Division","435 S Hawley Street Toledo OH , 43609",41.631902,-83.567202,2026-02-03T08:59:28.293481
